Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
WOR-REC-00001,Workday,recruiting,Search Workday recruiting,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-REC-00002,Workday,recruiting,Edit Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-REC-00003,Workday,recruiting,Approve Workday recruiting,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-REC-00004,Workday,recruiting,Route Workday recruiting,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-REC-00005,Workday,recruiting,Create Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-REC-00006,Workday,recruiting,Submit Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-REC-00007,Workday,recruiting,Archive Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-REC-00008,Workday,recruiting,Reject Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-REC-00009,Workday,recruiting,Submit Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-REC-00010,Workday,recruiting,Edit Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-REC-00011,Workday,recruiting,Route Workday recruiting,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-REC-00012,Workday,recruiting,Approve Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-REC-00013,Workday,recruiting,Escalate Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-REC-00014,Workday,recruiting,Restore Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-REC-00015,Workday,recruiting,Update Workday recruiting,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-REC-00016,Workday,recruiting,Submit Workday recruiting,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-REC-00017,Workday,recruiting,Restore Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-REC-00018,Workday,recruiting,Submit Workday recruiting,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-REC-00019,Workday,recruiting,Restore Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-REC-00020,Workday,recruiting,Escalate Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-REC-00021,Workday,recruiting,Escalate Workday recruiting,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-REC-00022,Workday,recruiting,Reject Workday recruiting,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-REC-00023,Workday,recruiting,Escalate Workday recruiting,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
