Test Case ID,Cloud,Module,Domain,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-FSC-10001,Financial Services,Person Account,Retail Banking,Integration,Clone Retail Banking Financial Services Person Account Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Clone action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Person Account B‑variant Clone execution respects household relationships, rollups, and regulatory controls",Low,Integration
SF-FSC-10002,Financial Services,Person Account,Retail Banking,Data Migration,KYC Verify Retail Banking Financial Services Person Account Variant B,User has FSC access and Retail Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use KYC Verify action on a Retail Banking record.\n3. Confirm data and compliance rules.,"Retail Banking Person Account B‑variant KYC Verify execution respects household relationships, rollups, and regulatory controls",High,Data Migration
SF-FSC-10003,Financial Services,Person Account,Commercial Banking,Rollup Validation,Share Commercial Banking Financial Services Person Account Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Share action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Person Account B‑variant Share execution respects household relationships, rollups, and regulatory controls",High,Rollup Validation
SF-FSC-10004,Financial Services,Person Account,Commercial Banking,API,Create Commercial Banking Financial Services Person Account Variant B,User has FSC access and Commercial Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Create action on a Commercial Banking record.\n3. Confirm data and compliance rules.,"Commercial Banking Person Account B‑variant Create execution respects household relationships, rollups, and regulatory controls",Low,API
SF-FSC-10005,Financial Services,Person Account,Wealth Management,Regression,Onboard Wealth Management Financial Services Person Account Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Onboard action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Person Account B‑variant Onboard execution respects household relationships, rollups, and regulatory controls",High,Regression
SF-FSC-10006,Financial Services,Person Account,Wealth Management,Relationship Mapping,Restore Wealth Management Financial Services Person Account Variant B,User has FSC access and Wealth Management data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Restore action on a Wealth Management record.\n3. Confirm data and compliance rules.,"Wealth Management Person Account B‑variant Restore execution respects household relationships, rollups, and regulatory controls",Medium,Relationship Mapping
SF-FSC-10007,Financial Services,Person Account,Investment Banking,Performance,Bulk Edit Investment Banking Financial Services Person Account Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Bulk Edit action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Person Account B‑variant Bulk Edit execution respects household relationships, rollups, and regulatory controls",Low,Performance
SF-FSC-10008,Financial Services,Person Account,Investment Banking,UI,Bulk Edit Investment Banking Financial Services Person Account Variant B,User has FSC access and Investment Banking data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Bulk Edit action on a Investment Banking record.\n3. Confirm data and compliance rules.,"Investment Banking Person Account B‑variant Bulk Edit execution respects household relationships, rollups, and regulatory controls",Medium,UI
SF-FSC-10009,Financial Services,Person Account,Insurance,Regulatory Audit,Update Insurance Financial Services Person Account Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Update action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Person Account B‑variant Update execution respects household relationships, rollups, and regulatory controls",Low,Regulatory Audit
SF-FSC-10010,Financial Services,Person Account,Insurance,API,Sync Insurance Financial Services Person Account Variant B,User has FSC access and Insurance data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Sync action on a Insurance record.\n3. Confirm data and compliance rules.,"Insurance Person Account B‑variant Sync execution respects household relationships, rollups, and regulatory controls",High,API
SF-FSC-10011,Financial Services,Person Account,Mortgage,Relationship Mapping,Reject Mortgage Financial Services Person Account Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Reject action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Person Account B‑variant Reject execution respects household relationships, rollups, and regulatory controls",Medium,Relationship Mapping
SF-FSC-10012,Financial Services,Person Account,Mortgage,Performance,Approve Mortgage Financial Services Person Account Variant B,User has FSC access and Mortgage data is properly mapped to FSC objects,1. Navigate to Person Account in Financial Services Cloud.\n2. Use Approve action on a Mortgage record.\n3. Confirm data and compliance rules.,"Mortgage Person Account B‑variant Approve execution respects household relationships, rollups, and regulatory controls",Low,Performance
