Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-SEC-00001,GCP,security,security,Platform,Create -> Protect -> Audit -> Report,Regression,Approve GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00002,GCP,security,security,Security,Deploy -> Scale -> Observe -> Rollback,Security,Update GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00003,GCP,security,security,Platform,Deploy -> Scale -> Observe -> Rollback,Functional,Restore GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00004,GCP,security,security,Platform,Deploy -> Scale -> Observe -> Rollback,UI,Restore GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00005,GCP,security,security,Security,Provision -> Validate -> Monitor -> Remediate,Security,Create GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00006,GCP,security,security,DevOps,Deploy -> Scale -> Observe -> Rollback,Performance,Create GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00007,GCP,security,security,Platform,Provision -> Validate -> Monitor -> Remediate,Integration,Clone GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00008,GCP,security,security,Security,Provision -> Validate -> Monitor -> Remediate,Performance,Create GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00009,GCP,security,security,Platform,Provision -> Validate -> Monitor -> Remediate,Regression,Delete GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-SEC-00010,GCP,security,security,Security,Provision -> Validate -> Monitor -> Remediate,Functional,Archive GCP security,GCP access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
