Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-COS-00001,GCP,cost,cost,Security,Create -> Protect -> Audit -> Report,Accessibility,Escalate GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00002,GCP,cost,cost,Platform,Provision -> Validate -> Monitor -> Remediate,Integration,Restore GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00003,GCP,cost,cost,Platform,Create -> Protect -> Audit -> Report,Integration,Update GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00004,GCP,cost,cost,Data,Create -> Protect -> Audit -> Report,Performance,Submit GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00005,GCP,cost,cost,Data,Provision -> Validate -> Monitor -> Remediate,Integration,Update GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00006,GCP,cost,cost,Platform,Provision -> Validate -> Monitor -> Remediate,Functional,Approve GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00007,GCP,cost,cost,Security,Create -> Protect -> Audit -> Report,Performance,Route GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00008,GCP,cost,cost,Security,Create -> Protect -> Audit -> Report,Performance,Clone GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00009,GCP,cost,cost,DevOps,Provision -> Validate -> Monitor -> Remediate,Performance,Clone GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-COS-00010,GCP,cost,cost,DevOps,Create -> Protect -> Audit -> Report,Accessibility,Approve GCP cost,GCP access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
