Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-GKE-00001,GCP,gke,gke,Security,Provision -> Validate -> Monitor -> Remediate,Integration,Delete GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00002,GCP,gke,gke,Data,Create -> Protect -> Audit -> Report,Performance,Delete GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00003,GCP,gke,gke,Platform,Create -> Protect -> Audit -> Report,Performance,Reject GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00004,GCP,gke,gke,Security,Deploy -> Scale -> Observe -> Rollback,Regression,Submit GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00005,GCP,gke,gke,Data,Create -> Protect -> Audit -> Report,Performance,Archive GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00006,GCP,gke,gke,Data,Create -> Protect -> Audit -> Report,Security,Approve GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00007,GCP,gke,gke,DevOps,Provision -> Validate -> Monitor -> Remediate,Security,Search GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00008,GCP,gke,gke,DevOps,Provision -> Validate -> Monitor -> Remediate,Performance,Route GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00009,GCP,gke,gke,Security,Create -> Protect -> Audit -> Report,UI,Route GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00010,GCP,gke,gke,DevOps,Deploy -> Scale -> Observe -> Rollback,UI,Edit GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00011,GCP,gke,gke,Platform,Create -> Protect -> Audit -> Report,Regression,Validate GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00012,GCP,gke,gke,Data,Provision -> Validate -> Monitor -> Remediate,Regression,Delete GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00013,GCP,gke,gke,Platform,Create -> Protect -> Audit -> Report,Integration,Create GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00014,GCP,gke,gke,Security,Create -> Protect -> Audit -> Report,Functional,Approve GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-GKE-00015,GCP,gke,gke,Security,Provision -> Validate -> Monitor -> Remediate,Integration,Create GCP gke,GCP access and test data available,"1. Open gke.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
