Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-SER-00001,TopProducts,servicenow,servicenow,ERP,Create -> Approve -> Close -> Audit,Accessibility,Edit TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00002,TopProducts,servicenow,servicenow,ERP,Navigate -> Execute -> Validate -> Report,Accessibility,Edit TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00003,TopProducts,servicenow,servicenow,Enterprise,Create -> Approve -> Close -> Audit,Performance,Create TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00004,TopProducts,servicenow,servicenow,Life Sciences,Navigate -> Execute -> Validate -> Report,Accessibility,Delete TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00005,TopProducts,servicenow,servicenow,Life Sciences,Create -> Approve -> Close -> Audit,Integration,Search TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00006,TopProducts,servicenow,servicenow,Life Sciences,Create -> Approve -> Close -> Audit,Performance,Validate TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00007,TopProducts,servicenow,servicenow,Life Sciences,Navigate -> Execute -> Validate -> Report,Regression,Clone TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00008,TopProducts,servicenow,servicenow,Enterprise,Create -> Approve -> Close -> Audit,Accessibility,Validate TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00009,TopProducts,servicenow,servicenow,ERP,Create -> Approve -> Close -> Audit,Integration,Update TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00010,TopProducts,servicenow,servicenow,ERP,Create -> Approve -> Close -> Audit,UI,Archive TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00011,TopProducts,servicenow,servicenow,CRM,Create -> Approve -> Close -> Audit,Security,Create TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00012,TopProducts,servicenow,servicenow,Enterprise,Create -> Approve -> Close -> Audit,Regression,Approve TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00013,TopProducts,servicenow,servicenow,ERP,Create -> Approve -> Close -> Audit,Security,Search TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00014,TopProducts,servicenow,servicenow,Enterprise,Navigate -> Execute -> Validate -> Report,Regression,Route TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SER-00015,TopProducts,servicenow,servicenow,CRM,Create -> Approve -> Close -> Audit,Regression,Approve TopProducts servicenow,TopProducts access and test data available,"1. Open servicenow.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
