Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-ONB-00001,Android,onboarding,onboarding,Enterprise,Offline -> Sync -> Resolve,Integration,Clone Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00002,Android,onboarding,onboarding,Consumer,Launch -> Authenticate -> Use -> Logout,Integration,Escalate Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00003,Android,onboarding,onboarding,FinTech,Offline -> Sync -> Resolve,Performance,Edit Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00004,Android,onboarding,onboarding,FinTech,Permission -> Action -> Persist,Performance,Clone Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00005,Android,onboarding,onboarding,Enterprise,Launch -> Authenticate -> Use -> Logout,Integration,Search Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00006,Android,onboarding,onboarding,FinTech,Offline -> Sync -> Resolve,UI,Search Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00007,Android,onboarding,onboarding,FinTech,Push -> Open -> Verify,Performance,Update Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00008,Android,onboarding,onboarding,FinTech,Launch -> Authenticate -> Use -> Logout,Performance,Create Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00009,Android,onboarding,onboarding,Enterprise,Push -> Open -> Verify,Security,Validate Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-ONB-00010,Android,onboarding,onboarding,Consumer,Launch -> Authenticate -> Use -> Logout,Integration,Update Android onboarding,Android access and test data available,"1. Open onboarding.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
