Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-PRO-00001,OracleApps,projects,Project Financials,Enterprise,Create -> Approve -> Post -> Report,Performance,Search Enterprise OracleApps Project Financials,User has OracleApps access and Enterprise data exists,"1. Open Project Financials.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00002,OracleApps,projects,Project Financials,Enterprise,Submit -> Validate -> Approve -> Complete,Regression,Submit Enterprise OracleApps Project Financials,User has OracleApps access and Enterprise data exists,"1. Open Project Financials.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00003,OracleApps,projects,Project Financials,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Delete Enterprise OracleApps Project Financials,User has OracleApps access and Enterprise data exists,"1. Open Project Financials.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00004,OracleApps,projects,Project Financials,Enterprise,Configure -> Execute -> Verify -> Close,Security,Clone Enterprise OracleApps Project Financials,User has OracleApps access and Enterprise data exists,"1. Open Project Financials.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00005,OracleApps,projects,Project Financials,Retail,Create -> Approve -> Post -> Report,Integration,Create Retail OracleApps Project Financials,User has OracleApps access and Retail data exists,"1. Open Project Financials.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00006,OracleApps,projects,Project Financials,Retail,Submit -> Validate -> Approve -> Complete,Performance,Create Retail OracleApps Project Financials,User has OracleApps access and Retail data exists,"1. Open Project Financials.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00007,OracleApps,projects,Project Financials,Retail,Draft -> Review -> Publish -> Archive,UI,Search Retail OracleApps Project Financials,User has OracleApps access and Retail data exists,"1. Open Project Financials.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00008,OracleApps,projects,Project Financials,Retail,Configure -> Execute -> Verify -> Close,Performance,Clone Retail OracleApps Project Financials,User has OracleApps access and Retail data exists,"1. Open Project Financials.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00009,OracleApps,projects,Project Financials,Manufacturing,Create -> Approve -> Post -> Report,Workflow,Delete Manufacturing OracleApps Project Financials,User has OracleApps access and Manufacturing data exists,"1. Open Project Financials.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-PRO-00010,OracleApps,projects,Project Financials,Manufacturing,Submit -> Validate -> Approve -> Complete,Functional,Edit Manufacturing OracleApps Project Financials,User has OracleApps access and Manufacturing data exists,"1. Open Project Financials.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
