Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-QUA-00001,Veeva,Quality,QMS,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Security,Reject Pharma Veeva QMS,User has Veeva access and Pharma data is available,"1. Open QMS.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00002,Veeva,Quality,QMS,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Functional,Edit Pharma Veeva QMS,User has Veeva access and Pharma data is available,"1. Open QMS.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00003,Veeva,Quality,QMS,Pharma,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Create Pharma Veeva QMS,User has Veeva access and Pharma data is available,"1. Open QMS.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00004,Veeva,Quality,QMS,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Regression,Approve Pharma Veeva QMS,User has Veeva access and Pharma data is available,"1. Open QMS.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00005,Veeva,Quality,QMS,Pharma,Content -> Approval -> HCP Delivery -> Analytics,UI,Restore Pharma Veeva QMS,User has Veeva access and Pharma data is available,"1. Open QMS.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00006,Veeva,Quality,QMS,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Integration,Clone Biotech Veeva QMS,User has Veeva access and Biotech data is available,"1. Open QMS.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00007,Veeva,Quality,QMS,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Security,Reject Biotech Veeva QMS,User has Veeva access and Biotech data is available,"1. Open QMS.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00008,Veeva,Quality,QMS,Biotech,Author -> Review -> Sign -> Distribute -> Track,Workflow,Delete Biotech Veeva QMS,User has Veeva access and Biotech data is available,"1. Open QMS.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00009,Veeva,Quality,QMS,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Performance,Escalate Biotech Veeva QMS,User has Veeva access and Biotech data is available,"1. Open QMS.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00010,Veeva,Quality,QMS,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Workflow,Delete Biotech Veeva QMS,User has Veeva access and Biotech data is available,"1. Open QMS.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00011,Veeva,Quality,QMS,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Workflow,Delete Medical Devices Veeva QMS,User has Veeva access and Medical Devices data is available,"1. Open QMS.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00012,Veeva,Quality,QMS,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Integration,Search Medical Devices Veeva QMS,User has Veeva access and Medical Devices data is available,"1. Open QMS.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00013,Veeva,Quality,QMS,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Submit Medical Devices Veeva QMS,User has Veeva access and Medical Devices data is available,"1. Open QMS.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00014,Veeva,Quality,QMS,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Performance,Delete Medical Devices Veeva QMS,User has Veeva access and Medical Devices data is available,"1. Open QMS.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00015,Veeva,Quality,QMS,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Functional,Update Medical Devices Veeva QMS,User has Veeva access and Medical Devices data is available,"1. Open QMS.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00016,Veeva,Quality,QMS,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Performance,Delete Consumer Health Veeva QMS,User has Veeva access and Consumer Health data is available,"1. Open QMS.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00017,Veeva,Quality,QMS,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Performance,Escalate Consumer Health Veeva QMS,User has Veeva access and Consumer Health data is available,"1. Open QMS.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00018,Veeva,Quality,QMS,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,Accessibility,Create Consumer Health Veeva QMS,User has Veeva access and Consumer Health data is available,"1. Open QMS.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00019,Veeva,Quality,QMS,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Route Consumer Health Veeva QMS,User has Veeva access and Consumer Health data is available,"1. Open QMS.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-QUA-00020,Veeva,Quality,QMS,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,UI,Search Consumer Health Veeva QMS,User has Veeva access and Consumer Health data is available,"1. Open QMS.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
