Test Case ID,Cloud,Module,Domain,Test Type,Variant,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-FSC-00001,Financial Services,Person Account,Retail Banking,Functional,A,AML Flag Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform AML Flag action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",AML Flag Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Low,Functional
SF-FSC-00002,Financial Services,Person Account,Retail Banking,Functional,A,Reassign Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Reassign action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-00003,Financial Services,Person Account,Retail Banking,Functional,A,View Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform View action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",View Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Medium,Functional
SF-FSC-00004,Financial Services,Person Account,Retail Banking,Regression,A,Share Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Share action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Share Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,High,Regression
SF-FSC-00005,Financial Services,Person Account,Retail Banking,Regression,A,Archive Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Archive action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Archive Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Medium,Regression
SF-FSC-00006,Financial Services,Person Account,Retail Banking,Regression,A,Route Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Route action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Route Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Medium,Regression
SF-FSC-00007,Financial Services,Person Account,Retail Banking,UI,A,Reject Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Reject action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reject Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Low,UI
SF-FSC-00008,Financial Services,Person Account,Retail Banking,UI,A,Export Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Export action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Export Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Low,UI
SF-FSC-00009,Financial Services,Person Account,Retail Banking,UI,A,Close Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Close action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Close Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,High,UI
SF-FSC-00010,Financial Services,Person Account,Retail Banking,Integration,A,Reassign Retail Banking Financial Services Person Account,User has FSC access and Retail Banking data is configured (core banking/wealth systems mapped),"1. Navigate to Person Account in Financial Services Cloud.\n2. Perform Reassign action on Retail Banking record.\n3. Save and verify relationship mapping, rollups, compliance.",Reassign Retail Banking Financial Services Person Account completes with correct household/rollup data and compliance audit trail,Medium,Integration
