Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
IOS-LOG-00001,iOS,login,login,Consumer,Permission -> Action -> Persist,Accessibility,Update iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00002,iOS,login,login,FinTech,Offline -> Sync -> Resolve,Security,Validate iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00003,iOS,login,login,Enterprise,Push -> Open -> Verify,Functional,Clone iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00004,iOS,login,login,FinTech,Launch -> Authenticate -> Use -> Logout,Functional,Clone iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00005,iOS,login,login,Enterprise,Permission -> Action -> Persist,Security,Search iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00006,iOS,login,login,Consumer,Permission -> Action -> Persist,Security,Route iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00007,iOS,login,login,Healthcare,Push -> Open -> Verify,Integration,Search iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00008,iOS,login,login,Consumer,Launch -> Authenticate -> Use -> Logout,UI,Approve iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00009,iOS,login,login,Enterprise,Push -> Open -> Verify,Security,Approve iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-LOG-00010,iOS,login,login,FinTech,Offline -> Sync -> Resolve,Accessibility,Delete iOS login,iOS access and test data available,"1. Open login.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
