Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AWS-EC2-00001,AWS,ec2,ec2,Data,Deploy -> Scale -> Observe -> Rollback,Security,Escalate AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00002,AWS,ec2,ec2,Security,Provision -> Validate -> Monitor -> Remediate,Accessibility,Archive AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00003,AWS,ec2,ec2,Platform,Provision -> Validate -> Monitor -> Remediate,Regression,Create AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00004,AWS,ec2,ec2,Security,Create -> Protect -> Audit -> Report,UI,Delete AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00005,AWS,ec2,ec2,Platform,Deploy -> Scale -> Observe -> Rollback,Accessibility,Clone AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00006,AWS,ec2,ec2,DevOps,Provision -> Validate -> Monitor -> Remediate,UI,Update AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00007,AWS,ec2,ec2,Platform,Provision -> Validate -> Monitor -> Remediate,Security,Update AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00008,AWS,ec2,ec2,Security,Deploy -> Scale -> Observe -> Rollback,Regression,Delete AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00009,AWS,ec2,ec2,Platform,Provision -> Validate -> Monitor -> Remediate,Performance,Clone AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00010,AWS,ec2,ec2,Data,Deploy -> Scale -> Observe -> Rollback,Security,Archive AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00011,AWS,ec2,ec2,Platform,Deploy -> Scale -> Observe -> Rollback,Regression,Search AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00012,AWS,ec2,ec2,Security,Deploy -> Scale -> Observe -> Rollback,Integration,Validate AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00013,AWS,ec2,ec2,Security,Deploy -> Scale -> Observe -> Rollback,Performance,Approve AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00014,AWS,ec2,ec2,Security,Deploy -> Scale -> Observe -> Rollback,Regression,Route AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00015,AWS,ec2,ec2,Data,Create -> Protect -> Audit -> Report,Integration,Reject AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00016,AWS,ec2,ec2,Data,Create -> Protect -> Audit -> Report,Functional,Delete AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00017,AWS,ec2,ec2,Platform,Provision -> Validate -> Monitor -> Remediate,Regression,Submit AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-EC2-00018,AWS,ec2,ec2,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Clone AWS ec2,AWS access and test data available,"1. Open ec2.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
