Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AZU-AKS-00001,Azure,aks,aks,Security,Create -> Protect -> Audit -> Report,Security,Validate Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00002,Azure,aks,aks,Security,Deploy -> Scale -> Observe -> Rollback,Functional,Validate Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00003,Azure,aks,aks,Security,Deploy -> Scale -> Observe -> Rollback,UI,Reject Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00004,Azure,aks,aks,Data,Deploy -> Scale -> Observe -> Rollback,UI,Update Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00005,Azure,aks,aks,Platform,Create -> Protect -> Audit -> Report,Performance,Search Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00006,Azure,aks,aks,Platform,Create -> Protect -> Audit -> Report,Performance,Route Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00007,Azure,aks,aks,Data,Create -> Protect -> Audit -> Report,UI,Approve Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00008,Azure,aks,aks,Data,Provision -> Validate -> Monitor -> Remediate,Performance,Restore Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00009,Azure,aks,aks,Data,Provision -> Validate -> Monitor -> Remediate,Accessibility,Edit Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00010,Azure,aks,aks,DevOps,Provision -> Validate -> Monitor -> Remediate,Integration,Escalate Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00011,Azure,aks,aks,Data,Provision -> Validate -> Monitor -> Remediate,Accessibility,Delete Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00012,Azure,aks,aks,Data,Create -> Protect -> Audit -> Report,Integration,Delete Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00013,Azure,aks,aks,Data,Create -> Protect -> Audit -> Report,Functional,Delete Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00014,Azure,aks,aks,Platform,Deploy -> Scale -> Observe -> Rollback,Accessibility,Search Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00015,Azure,aks,aks,Platform,Create -> Protect -> Audit -> Report,Integration,Validate Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00016,Azure,aks,aks,Data,Deploy -> Scale -> Observe -> Rollback,Security,Clone Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00017,Azure,aks,aks,Platform,Create -> Protect -> Audit -> Report,Integration,Escalate Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-AKS-00018,Azure,aks,aks,Security,Deploy -> Scale -> Observe -> Rollback,Performance,Clone Azure aks,Azure access and test data available,"1. Open aks.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
