Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
IOS-PER-00001,iOS,performance,performance,Enterprise,Launch -> Authenticate -> Use -> Logout,Integration,Escalate iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00002,iOS,performance,performance,Consumer,Launch -> Authenticate -> Use -> Logout,Performance,Validate iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00003,iOS,performance,performance,Healthcare,Permission -> Action -> Persist,Integration,Archive iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00004,iOS,performance,performance,FinTech,Launch -> Authenticate -> Use -> Logout,UI,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00005,iOS,performance,performance,FinTech,Offline -> Sync -> Resolve,Security,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00006,iOS,performance,performance,Healthcare,Launch -> Authenticate -> Use -> Logout,Integration,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00007,iOS,performance,performance,Consumer,Offline -> Sync -> Resolve,UI,Escalate iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00008,iOS,performance,performance,FinTech,Push -> Open -> Verify,UI,Submit iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00009,iOS,performance,performance,Consumer,Launch -> Authenticate -> Use -> Logout,Accessibility,Validate iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00010,iOS,performance,performance,FinTech,Push -> Open -> Verify,Functional,Search iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00011,iOS,performance,performance,Consumer,Offline -> Sync -> Resolve,Functional,Approve iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00012,iOS,performance,performance,Enterprise,Launch -> Authenticate -> Use -> Logout,UI,Archive iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00013,iOS,performance,performance,FinTech,Offline -> Sync -> Resolve,Integration,Route iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00014,iOS,performance,performance,Healthcare,Launch -> Authenticate -> Use -> Logout,Accessibility,Archive iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00015,iOS,performance,performance,Enterprise,Push -> Open -> Verify,Integration,Approve iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00016,iOS,performance,performance,Healthcare,Push -> Open -> Verify,Integration,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00017,iOS,performance,performance,Enterprise,Offline -> Sync -> Resolve,Accessibility,Escalate iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00018,iOS,performance,performance,Enterprise,Push -> Open -> Verify,Integration,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00019,iOS,performance,performance,Enterprise,Offline -> Sync -> Resolve,UI,Update iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00020,iOS,performance,performance,Healthcare,Offline -> Sync -> Resolve,Integration,Delete iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00021,iOS,performance,performance,Enterprise,Push -> Open -> Verify,Performance,Search iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00022,iOS,performance,performance,FinTech,Permission -> Action -> Persist,Integration,Archive iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00023,iOS,performance,performance,FinTech,Launch -> Authenticate -> Use -> Logout,Accessibility,Route iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00024,iOS,performance,performance,FinTech,Push -> Open -> Verify,Regression,Restore iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
IOS-PER-00025,iOS,performance,performance,FinTech,Permission -> Action -> Persist,Accessibility,Delete iOS performance,iOS access and test data available,"1. Open performance.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""iPhone 15"", ""os"": ""iOS 18"", ""network"": ""Wi-Fi""}"
