Test Case ID,Cloud,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-SE-00001,Service,Case,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Performance,Clone Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Clone and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Low,Integration
SF-SE-00002,Service,Case,Retail Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Validate Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Validate and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Regression
SF-SE-00003,Service,Case,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Regression,Export Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Export and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Functional
SF-SE-00004,Service,Case,Retail Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Functional,Approve Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Approve and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,High,Accessibility
SF-SE-00005,Service,Case,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Integration,Reassign Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Reassign and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,High,Security
SF-SE-00006,Service,Case,Retail Support,Email-to-Case -> Agent Console -> Knowledge -> Resolution,Performance,Bulk Edit Retail Support Service Case,User has Service access and Retail Support data is configured,"1. Navigate to Case.
2. Execute: Email-to-Case -> Agent Console -> Knowledge -> Resolution.
3. Perform Bulk Edit and verify results.",Email-to-Case -> Agent Console -> Knowledge -> Resolution completes successfully with audit trail and validation,Medium,Functional
SF-SE-00007,Service,Case,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,UI,Clone Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Clone and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,High,Regression
SF-SE-00008,Service,Case,Healthcare Support,Case Create -> Route -> Knowledge -> Resolve -> Close,Functional,Search Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Case Create -> Route -> Knowledge -> Resolve -> Close.
3. Perform Search and verify results.",Case Create -> Route -> Knowledge -> Resolve -> Close completes successfully with audit trail and validation,Medium,Security
SF-SE-00009,Service,Case,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Mobile,Restore Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform Restore and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Regression
SF-SE-00010,Service,Case,Healthcare Support,Chat -> Omni-Channel -> Case -> Escalation -> Closure,Security,View Healthcare Support Service Case,User has Service access and Healthcare Support data is configured,"1. Navigate to Case.
2. Execute: Chat -> Omni-Channel -> Case -> Escalation -> Closure.
3. Perform View and verify results.",Chat -> Omni-Channel -> Case -> Escalation -> Closure completes successfully with audit trail and validation,Medium,Mobile
