Test Case ID,Cloud,Module,Domain,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SF-HC-00001,Health,Patient 360,Payer,Functional,Clone Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Clone action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Clone Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Functional
SF-HC-00002,Health,Patient 360,Payer,Functional,Edit Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Edit action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Edit Payer Health Patient 360 completes successfully with audit trail and data validation,High,Functional
SF-HC-00003,Health,Patient 360,Payer,Functional,Export Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Export action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Export Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Functional
SF-HC-00004,Health,Patient 360,Payer,Functional,Schedule Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Schedule action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Schedule Payer Health Patient 360 completes successfully with audit trail and data validation,High,Functional
SF-HC-00005,Health,Patient 360,Payer,Regression,Update Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Update action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Update Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Regression
SF-HC-00006,Health,Patient 360,Payer,Regression,Validate Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Validate action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Validate Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Regression
SF-HC-00007,Health,Patient 360,Payer,Regression,Schedule Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Schedule action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Schedule Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Regression
SF-HC-00008,Health,Patient 360,Payer,Regression,View Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform View action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,View Payer Health Patient 360 completes successfully with audit trail and data validation,High,Regression
SF-HC-00009,Health,Patient 360,Payer,UI,Search Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Search action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Search Payer Health Patient 360 completes successfully with audit trail and data validation,High,UI
SF-HC-00010,Health,Patient 360,Payer,UI,Delete Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Delete action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Delete Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,UI
SF-HC-00011,Health,Patient 360,Payer,UI,Route Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Route action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Route Payer Health Patient 360 completes successfully with audit trail and data validation,High,UI
SF-HC-00012,Health,Patient 360,Payer,UI,Complete Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Complete action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Complete Payer Health Patient 360 completes successfully with audit trail and data validation,High,UI
SF-HC-00013,Health,Patient 360,Payer,Integration,Update Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Update action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Update Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Integration
SF-HC-00014,Health,Patient 360,Payer,Integration,Edit Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Edit action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Edit Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Integration
SF-HC-00015,Health,Patient 360,Payer,Integration,Reassign Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Reassign action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Reassign Payer Health Patient 360 completes successfully with audit trail and data validation,High,Integration
SF-HC-00016,Health,Patient 360,Payer,Integration,Validate Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Validate action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Validate Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Integration
SF-HC-00017,Health,Patient 360,Payer,Security,Complete Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Complete action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Complete Payer Health Patient 360 completes successfully with audit trail and data validation,High,Security
SF-HC-00018,Health,Patient 360,Payer,Security,Submit Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Submit action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Submit Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Security
SF-HC-00019,Health,Patient 360,Payer,Security,Share Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Share action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Share Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Security
SF-HC-00020,Health,Patient 360,Payer,Security,Restore Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Restore action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Restore Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Security
SF-HC-00021,Health,Patient 360,Payer,Compliance,Bulk Edit Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Bulk Edit action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Bulk Edit Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Compliance
SF-HC-00022,Health,Patient 360,Payer,Compliance,Reject Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Reject action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Reject Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Compliance
SF-HC-00023,Health,Patient 360,Payer,Compliance,Validate Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Validate action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Validate Payer Health Patient 360 completes successfully with audit trail and data validation,High,Compliance
SF-HC-00024,Health,Patient 360,Payer,Compliance,Clone Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Clone action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Clone Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Compliance
SF-HC-00025,Health,Patient 360,Payer,Performance,Reject Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Reject action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Reject Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Performance
SF-HC-00026,Health,Patient 360,Payer,Performance,Complete Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Complete action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Complete Payer Health Patient 360 completes successfully with audit trail and data validation,High,Performance
SF-HC-00027,Health,Patient 360,Payer,Performance,Sync Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Sync action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Sync Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Performance
SF-HC-00028,Health,Patient 360,Payer,Performance,Share Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Share action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Share Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Performance
SF-HC-00029,Health,Patient 360,Payer,Data Migration,Share Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Share action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Share Payer Health Patient 360 completes successfully with audit trail and data validation,High,Data Migration
SF-HC-00030,Health,Patient 360,Payer,Data Migration,Reassign Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Reassign action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Reassign Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Data Migration
SF-HC-00031,Health,Patient 360,Payer,Data Migration,Submit Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Submit action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Submit Payer Health Patient 360 completes successfully with audit trail and data validation,Medium,Data Migration
SF-HC-00032,Health,Patient 360,Payer,Data Migration,Restore Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Restore action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Restore Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Data Migration
SF-HC-00033,Health,Patient 360,Payer,Mobile,Share Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Share action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Share Payer Health Patient 360 completes successfully with audit trail and data validation,High,Mobile
SF-HC-00034,Health,Patient 360,Payer,Mobile,Reject Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Reject action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Reject Payer Health Patient 360 completes successfully with audit trail and data validation,Low,Mobile
SF-HC-00035,Health,Patient 360,Payer,Mobile,Create Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform Create action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,Create Payer Health Patient 360 completes successfully with audit trail and data validation,High,Mobile
SF-HC-00036,Health,Patient 360,Payer,Mobile,View Payer Health Patient 360,User has Health Cloud access and Payer data is configured (EHR/Payer/Claims mapped),1. Navigate to Patient 360 in Health Cloud.\n2. Perform View action on Payer record.\n3. Save and verify FHIR/HIPAA compliance.,View Payer Health Patient 360 completes successfully with audit trail and data validation,High,Mobile
