Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-HCM-00001,Workday,HCM,Core HCM,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Mobile,Import Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00002,Workday,HCM,Core HCM,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Export Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00003,Workday,HCM,Core HCM,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,UI,Review Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00004,Workday,HCM,Core HCM,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Validate Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00005,Workday,HCM,Core HCM,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Functional,Update Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00006,Workday,HCM,Core HCM,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Security,Create Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00007,Workday,HCM,Core HCM,Corporate,Budget -> Expense -> Journal -> Dashboard,UI,Review Corporate Workday Core HCM,Workday access is provisioned and Corporate test data exists,"1. Open Workday Core HCM.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",High,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00008,Workday,HCM,Core HCM,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Accessibility,Reject Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00009,Workday,HCM,Core HCM,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Regression,Validate Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-HCM-00010,Workday,HCM,Core HCM,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Workflow,Validate Retail Workday Core HCM,Workday access is provisioned and Retail test data exists,"1. Open Workday Core HCM.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
