Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-CLI-00001,Veeva,Clinical,Study Setup,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Data Migration,Create Pharma Veeva Study Setup,User has Veeva access and Pharma data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00002,Veeva,Clinical,Study Setup,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Regression,Delete Pharma Veeva Study Setup,User has Veeva access and Pharma data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00003,Veeva,Clinical,Study Setup,Pharma,Author -> Review -> Sign -> Distribute -> Track,Workflow,Clone Pharma Veeva Study Setup,User has Veeva access and Pharma data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00004,Veeva,Clinical,Study Setup,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Performance,Approve Pharma Veeva Study Setup,User has Veeva access and Pharma data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00005,Veeva,Clinical,Study Setup,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Workflow,Delete Pharma Veeva Study Setup,User has Veeva access and Pharma data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00006,Veeva,Clinical,Study Setup,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Security,Route Biotech Veeva Study Setup,User has Veeva access and Biotech data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00007,Veeva,Clinical,Study Setup,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Functional,Approve Biotech Veeva Study Setup,User has Veeva access and Biotech data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00008,Veeva,Clinical,Study Setup,Biotech,Author -> Review -> Sign -> Distribute -> Track,Workflow,Submit Biotech Veeva Study Setup,User has Veeva access and Biotech data is available,"1. Open Study Setup.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00009,Veeva,Clinical,Study Setup,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Regression,Submit Biotech Veeva Study Setup,User has Veeva access and Biotech data is available,"1. Open Study Setup.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00010,Veeva,Clinical,Study Setup,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Security,Clone Biotech Veeva Study Setup,User has Veeva access and Biotech data is available,"1. Open Study Setup.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00011,Veeva,Clinical,Study Setup,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Functional,Edit Medical Devices Veeva Study Setup,User has Veeva access and Medical Devices data is available,"1. Open Study Setup.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-CLI-00012,Veeva,Clinical,Study Setup,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Security,Reject Medical Devices Veeva Study Setup,User has Veeva access and Medical Devices data is available,"1. Open Study Setup.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
