Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-WOR-00001,TopProducts,workday,workday,Enterprise,Navigate -> Execute -> Validate -> Report,UI,Archive TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00002,TopProducts,workday,workday,CRM,Create -> Approve -> Close -> Audit,Security,Archive TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00003,TopProducts,workday,workday,Life Sciences,Create -> Approve -> Close -> Audit,Integration,Restore TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00004,TopProducts,workday,workday,Enterprise,Navigate -> Execute -> Validate -> Report,Integration,Route TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00005,TopProducts,workday,workday,ERP,Create -> Approve -> Close -> Audit,Integration,Submit TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00006,TopProducts,workday,workday,Life Sciences,Create -> Approve -> Close -> Audit,Regression,Approve TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00007,TopProducts,workday,workday,Life Sciences,Create -> Approve -> Close -> Audit,Functional,Submit TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00008,TopProducts,workday,workday,CRM,Create -> Approve -> Close -> Audit,Security,Edit TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00009,TopProducts,workday,workday,ERP,Navigate -> Execute -> Validate -> Report,Functional,Submit TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-WOR-00010,TopProducts,workday,workday,Enterprise,Navigate -> Execute -> Validate -> Report,Integration,Reject TopProducts workday,TopProducts access and test data available,"1. Open workday.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
