Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-VEE-00001,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Integration,Submit TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00002,TopProducts,veeva,veeva,Enterprise,Create -> Approve -> Close -> Audit,Integration,Reject TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00003,TopProducts,veeva,veeva,Enterprise,Create -> Approve -> Close -> Audit,Functional,Escalate TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00004,TopProducts,veeva,veeva,Life Sciences,Create -> Approve -> Close -> Audit,Integration,Archive TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00005,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Functional,Escalate TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00006,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Security,Escalate TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00007,TopProducts,veeva,veeva,CRM,Create -> Approve -> Close -> Audit,Integration,Reject TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00008,TopProducts,veeva,veeva,Enterprise,Create -> Approve -> Close -> Audit,Performance,Delete TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00009,TopProducts,veeva,veeva,Life Sciences,Navigate -> Execute -> Validate -> Report,Functional,Validate TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00010,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Regression,Approve TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00011,TopProducts,veeva,veeva,ERP,Navigate -> Execute -> Validate -> Report,Regression,Delete TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00012,TopProducts,veeva,veeva,Life Sciences,Create -> Approve -> Close -> Audit,Integration,Route TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00013,TopProducts,veeva,veeva,ERP,Create -> Approve -> Close -> Audit,Security,Search TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00014,TopProducts,veeva,veeva,Enterprise,Navigate -> Execute -> Validate -> Report,Functional,Clone TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00015,TopProducts,veeva,veeva,CRM,Create -> Approve -> Close -> Audit,Performance,Route TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00016,TopProducts,veeva,veeva,Enterprise,Create -> Approve -> Close -> Audit,Integration,Route TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00017,TopProducts,veeva,veeva,Life Sciences,Navigate -> Execute -> Validate -> Report,Integration,Edit TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00018,TopProducts,veeva,veeva,Life Sciences,Navigate -> Execute -> Validate -> Report,Functional,Edit TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00019,TopProducts,veeva,veeva,Enterprise,Navigate -> Execute -> Validate -> Report,Regression,Delete TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00020,TopProducts,veeva,veeva,CRM,Create -> Approve -> Close -> Audit,Functional,Edit TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00021,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Functional,Update TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00022,TopProducts,veeva,veeva,CRM,Navigate -> Execute -> Validate -> Report,Performance,Escalate TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00023,TopProducts,veeva,veeva,Enterprise,Navigate -> Execute -> Validate -> Report,Security,Delete TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00024,TopProducts,veeva,veeva,Life Sciences,Create -> Approve -> Close -> Audit,Performance,Archive TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-VEE-00025,TopProducts,veeva,veeva,ERP,Create -> Approve -> Close -> Audit,Performance,Approve TopProducts veeva,TopProducts access and test data available,"1. Open veeva.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
