Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAL-PLA-00001,Salesforce,platform,Approve Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-PLA-00002,Salesforce,platform,Delete Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-PLA-00003,Salesforce,platform,Archive Salesforce platform,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-PLA-00004,Salesforce,platform,Submit Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-PLA-00005,Salesforce,platform,Submit Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-PLA-00006,Salesforce,platform,Delete Salesforce platform,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-PLA-00007,Salesforce,platform,Update Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-PLA-00008,Salesforce,platform,Escalate Salesforce platform,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-PLA-00009,Salesforce,platform,Submit Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-PLA-00010,Salesforce,platform,Reject Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-PLA-00011,Salesforce,platform,Restore Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-PLA-00012,Salesforce,platform,Restore Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-PLA-00013,Salesforce,platform,Approve Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-PLA-00014,Salesforce,platform,Edit Salesforce platform,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-PLA-00015,Salesforce,platform,Submit Salesforce platform,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-PLA-00016,Salesforce,platform,Delete Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-PLA-00017,Salesforce,platform,Restore Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-PLA-00018,Salesforce,platform,Delete Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-PLA-00019,Salesforce,platform,Approve Salesforce platform,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-PLA-00020,Salesforce,platform,Reject Salesforce platform,Salesforce test data ready,Create record > route approval > verify status,Success,High
