Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-MED-00001,Veeva,Medical,MedComms,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Functional,Escalate Pharma Veeva MedComms,User has Veeva access and Pharma data is available,"1. Open MedComms.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00002,Veeva,Medical,MedComms,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Accessibility,Archive Pharma Veeva MedComms,User has Veeva access and Pharma data is available,"1. Open MedComms.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00003,Veeva,Medical,MedComms,Pharma,Author -> Review -> Sign -> Distribute -> Track,Workflow,Escalate Pharma Veeva MedComms,User has Veeva access and Pharma data is available,"1. Open MedComms.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00004,Veeva,Medical,MedComms,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Performance,Submit Pharma Veeva MedComms,User has Veeva access and Pharma data is available,"1. Open MedComms.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00005,Veeva,Medical,MedComms,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Performance,Update Pharma Veeva MedComms,User has Veeva access and Pharma data is available,"1. Open MedComms.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00006,Veeva,Medical,MedComms,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Accessibility,Submit Biotech Veeva MedComms,User has Veeva access and Biotech data is available,"1. Open MedComms.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00007,Veeva,Medical,MedComms,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Regression,Create Biotech Veeva MedComms,User has Veeva access and Biotech data is available,"1. Open MedComms.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00008,Veeva,Medical,MedComms,Biotech,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Submit Biotech Veeva MedComms,User has Veeva access and Biotech data is available,"1. Open MedComms.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,High,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00009,Veeva,Medical,MedComms,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Data Migration,Clone Biotech Veeva MedComms,User has Veeva access and Biotech data is available,"1. Open MedComms.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-MED-00010,Veeva,Medical,MedComms,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Integration,Clone Biotech Veeva MedComms,User has Veeva access and Biotech data is available,"1. Open MedComms.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Performance,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
