Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AZU-IAM-00001,Azure,iam,iam,DevOps,Provision -> Validate -> Monitor -> Remediate,Accessibility,Search Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00002,Azure,iam,iam,Security,Provision -> Validate -> Monitor -> Remediate,Functional,Approve Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00003,Azure,iam,iam,DevOps,Provision -> Validate -> Monitor -> Remediate,Regression,Edit Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00004,Azure,iam,iam,Platform,Create -> Protect -> Audit -> Report,Security,Restore Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00005,Azure,iam,iam,DevOps,Create -> Protect -> Audit -> Report,Functional,Edit Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00006,Azure,iam,iam,Data,Create -> Protect -> Audit -> Report,Accessibility,Reject Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00007,Azure,iam,iam,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Create Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00008,Azure,iam,iam,Data,Create -> Protect -> Audit -> Report,Security,Search Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00009,Azure,iam,iam,DevOps,Create -> Protect -> Audit -> Report,UI,Update Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-IAM-00010,Azure,iam,iam,DevOps,Create -> Protect -> Audit -> Report,Performance,Clone Azure iam,Azure access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
