Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-ORA-00001,TopProducts,oracle,oracle,Life Sciences,Create -> Approve -> Close -> Audit,Functional,Validate TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00002,TopProducts,oracle,oracle,Enterprise,Create -> Approve -> Close -> Audit,Functional,Validate TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00003,TopProducts,oracle,oracle,CRM,Create -> Approve -> Close -> Audit,UI,Escalate TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00004,TopProducts,oracle,oracle,ERP,Navigate -> Execute -> Validate -> Report,Functional,Validate TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00005,TopProducts,oracle,oracle,ERP,Create -> Approve -> Close -> Audit,Functional,Approve TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00006,TopProducts,oracle,oracle,Enterprise,Create -> Approve -> Close -> Audit,Integration,Create TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00007,TopProducts,oracle,oracle,CRM,Navigate -> Execute -> Validate -> Report,Functional,Validate TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00008,TopProducts,oracle,oracle,CRM,Navigate -> Execute -> Validate -> Report,Integration,Archive TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00009,TopProducts,oracle,oracle,Life Sciences,Navigate -> Execute -> Validate -> Report,Functional,Reject TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00010,TopProducts,oracle,oracle,ERP,Navigate -> Execute -> Validate -> Report,Accessibility,Archive TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00011,TopProducts,oracle,oracle,ERP,Create -> Approve -> Close -> Audit,UI,Edit TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00012,TopProducts,oracle,oracle,Life Sciences,Navigate -> Execute -> Validate -> Report,Regression,Edit TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00013,TopProducts,oracle,oracle,Life Sciences,Create -> Approve -> Close -> Audit,Functional,Route TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00014,TopProducts,oracle,oracle,CRM,Navigate -> Execute -> Validate -> Report,UI,Restore TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-ORA-00015,TopProducts,oracle,oracle,Life Sciences,Navigate -> Execute -> Validate -> Report,Security,Submit TopProducts oracle,TopProducts access and test data available,"1. Open oracle.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
