Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
WOR-PLA-00001,Workday,planning,Restore Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00002,Workday,planning,Archive Workday planning,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-PLA-00003,Workday,planning,Reject Workday planning,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-PLA-00004,Workday,planning,Approve Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-PLA-00005,Workday,planning,Approve Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00006,Workday,planning,Validate Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-PLA-00007,Workday,planning,Validate Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00008,Workday,planning,Edit Workday planning,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-PLA-00009,Workday,planning,Update Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00010,Workday,planning,Submit Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00011,Workday,planning,Clone Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00012,Workday,planning,Restore Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00013,Workday,planning,Restore Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00014,Workday,planning,Edit Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-PLA-00015,Workday,planning,Clone Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00016,Workday,planning,Escalate Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00017,Workday,planning,Validate Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-PLA-00018,Workday,planning,Edit Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00019,Workday,planning,Update Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00020,Workday,planning,Reject Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00021,Workday,planning,Approve Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00022,Workday,planning,Approve Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00023,Workday,planning,Escalate Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00024,Workday,planning,Submit Workday planning,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-PLA-00025,Workday,planning,Archive Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-PLA-00026,Workday,planning,Archive Workday planning,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-PLA-00027,Workday,planning,Reject Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-PLA-00028,Workday,planning,Edit Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-PLA-00029,Workday,planning,Approve Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00030,Workday,planning,Restore Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00031,Workday,planning,Reject Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00032,Workday,planning,Restore Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-PLA-00033,Workday,planning,Delete Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00034,Workday,planning,Validate Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00035,Workday,planning,Create Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00036,Workday,planning,Search Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00037,Workday,planning,Restore Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00038,Workday,planning,Reject Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-PLA-00039,Workday,planning,Validate Workday planning,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-PLA-00040,Workday,planning,Restore Workday planning,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-PLA-00041,Workday,planning,Approve Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-PLA-00042,Workday,planning,Edit Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-PLA-00043,Workday,planning,Delete Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-PLA-00044,Workday,planning,Escalate Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00045,Workday,planning,Submit Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-PLA-00046,Workday,planning,Submit Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00047,Workday,planning,Route Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-PLA-00048,Workday,planning,Submit Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-PLA-00049,Workday,planning,Restore Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-PLA-00050,Workday,planning,Escalate Workday planning,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-PLA-00051,Workday,planning,Delete Workday planning,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-PLA-00052,Workday,planning,Route Workday planning,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-PLA-00053,Workday,planning,Clone Workday planning,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-PLA-00054,Workday,planning,Edit Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00055,Workday,planning,Submit Workday planning,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-PLA-00056,Workday,planning,Delete Workday planning,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
