Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-E2E-00001,Workday,E2E,Hire to Pay,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Data Migration,Update Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00002,Workday,E2E,Hire to Pay,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Accessibility,Update Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00003,Workday,E2E,Hire to Pay,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Functional,Sync Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00004,Workday,E2E,Hire to Pay,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Create Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00005,Workday,E2E,Hire to Pay,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Regression,Review Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Medium,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00006,Workday,E2E,Hire to Pay,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Functional,Import Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00007,Workday,E2E,Hire to Pay,Corporate,Budget -> Expense -> Journal -> Dashboard,Security,Close Corporate Workday Hire to Pay,Workday access is provisioned and Corporate test data exists,"1. Open Workday Hire to Pay.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00008,Workday,E2E,Hire to Pay,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,UI,Sync Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00009,Workday,E2E,Hire to Pay,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Update Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00010,Workday,E2E,Hire to Pay,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Sync Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00011,Workday,E2E,Hire to Pay,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Accessibility,Review Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Accessibility,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00012,Workday,E2E,Hire to Pay,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,Performance,Import Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00013,Workday,E2E,Hire to Pay,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Functional,Review Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-E2E-00014,Workday,E2E,Hire to Pay,Retail,Budget -> Expense -> Journal -> Dashboard,UI,Export Retail Workday Hire to Pay,Workday access is provisioned and Retail test data exists,"1. Open Workday Hire to Pay.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Low,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
