Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
GOO-ADM-00001,GoogleWorkspace,admin,Reject GoogleWorkspace admin,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-ADM-00002,GoogleWorkspace,admin,Update GoogleWorkspace admin,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-ADM-00003,GoogleWorkspace,admin,Escalate GoogleWorkspace admin,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-ADM-00004,GoogleWorkspace,admin,Edit GoogleWorkspace admin,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-ADM-00005,GoogleWorkspace,admin,Search GoogleWorkspace admin,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Low
GOO-ADM-00006,GoogleWorkspace,admin,Create GoogleWorkspace admin,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-ADM-00007,GoogleWorkspace,admin,Approve GoogleWorkspace admin,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-ADM-00008,GoogleWorkspace,admin,Escalate GoogleWorkspace admin,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Low
GOO-ADM-00009,GoogleWorkspace,admin,Archive GoogleWorkspace admin,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-ADM-00010,GoogleWorkspace,admin,Validate GoogleWorkspace admin,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-ADM-00011,GoogleWorkspace,admin,Search GoogleWorkspace admin,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-ADM-00012,GoogleWorkspace,admin,Approve GoogleWorkspace admin,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-ADM-00013,GoogleWorkspace,admin,Update GoogleWorkspace admin,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-ADM-00014,GoogleWorkspace,admin,Clone GoogleWorkspace admin,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-ADM-00015,GoogleWorkspace,admin,Submit GoogleWorkspace admin,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Low
GOO-ADM-00016,GoogleWorkspace,admin,Delete GoogleWorkspace admin,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
