Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AWS-COS-00001,AWS,cost,cost,Data,Deploy -> Scale -> Observe -> Rollback,Regression,Clone AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00002,AWS,cost,cost,DevOps,Deploy -> Scale -> Observe -> Rollback,Performance,Edit AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00003,AWS,cost,cost,Security,Create -> Protect -> Audit -> Report,Regression,Search AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00004,AWS,cost,cost,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Archive AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00005,AWS,cost,cost,Data,Provision -> Validate -> Monitor -> Remediate,Accessibility,Archive AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00006,AWS,cost,cost,Security,Deploy -> Scale -> Observe -> Rollback,Integration,Route AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00007,AWS,cost,cost,Security,Deploy -> Scale -> Observe -> Rollback,Integration,Approve AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00008,AWS,cost,cost,Security,Provision -> Validate -> Monitor -> Remediate,Accessibility,Archive AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00009,AWS,cost,cost,Platform,Create -> Protect -> Audit -> Report,Security,Approve AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00010,AWS,cost,cost,DevOps,Provision -> Validate -> Monitor -> Remediate,Functional,Delete AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00011,AWS,cost,cost,Data,Deploy -> Scale -> Observe -> Rollback,UI,Clone AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00012,AWS,cost,cost,Platform,Provision -> Validate -> Monitor -> Remediate,Security,Create AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00013,AWS,cost,cost,Platform,Provision -> Validate -> Monitor -> Remediate,UI,Delete AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-COS-00014,AWS,cost,cost,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Validate AWS cost,AWS access and test data available,"1. Open cost.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
