Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
WOR-FIN-00001,Workday,finance,Clone Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00002,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00003,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00004,Workday,finance,Validate Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00005,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00006,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00007,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00008,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00009,Workday,finance,Restore Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00010,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00011,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00012,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00013,Workday,finance,Reject Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00014,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00015,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00016,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00017,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00018,Workday,finance,Submit Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00019,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00020,Workday,finance,Submit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00021,Workday,finance,Clone Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00022,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00023,Workday,finance,Edit Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00024,Workday,finance,Approve Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00025,Workday,finance,Escalate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00026,Workday,finance,Edit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00027,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00028,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00029,Workday,finance,Route Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00030,Workday,finance,Approve Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00031,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00032,Workday,finance,Reject Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00033,Workday,finance,Restore Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00034,Workday,finance,Route Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00035,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00036,Workday,finance,Restore Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00037,Workday,finance,Delete Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00038,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00039,Workday,finance,Validate Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00040,Workday,finance,Update Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00041,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00042,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00043,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00044,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00045,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00046,Workday,finance,Approve Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00047,Workday,finance,Validate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00048,Workday,finance,Update Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00049,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00050,Workday,finance,Validate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00051,Workday,finance,Submit Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00052,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00053,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00054,Workday,finance,Validate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00055,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00056,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00057,Workday,finance,Escalate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00058,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00059,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00060,Workday,finance,Restore Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00061,Workday,finance,Clone Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00062,Workday,finance,Approve Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00063,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00064,Workday,finance,Search Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00065,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00066,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00067,Workday,finance,Approve Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00068,Workday,finance,Delete Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00069,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00070,Workday,finance,Route Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00071,Workday,finance,Restore Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00072,Workday,finance,Approve Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00073,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00074,Workday,finance,Edit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00075,Workday,finance,Escalate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00076,Workday,finance,Reject Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00077,Workday,finance,Search Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00078,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00079,Workday,finance,Validate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00080,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00081,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00082,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00083,Workday,finance,Restore Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00084,Workday,finance,Escalate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00085,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00086,Workday,finance,Validate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00087,Workday,finance,Delete Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00088,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00089,Workday,finance,Create Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00090,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00091,Workday,finance,Approve Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00092,Workday,finance,Approve Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00093,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00094,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00095,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00096,Workday,finance,Route Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00097,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00098,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00099,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00100,Workday,finance,Submit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00101,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00102,Workday,finance,Reject Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00103,Workday,finance,Create Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00104,Workday,finance,Restore Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00105,Workday,finance,Archive Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00106,Workday,finance,Route Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00107,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00108,Workday,finance,Delete Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00109,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00110,Workday,finance,Search Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00111,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00112,Workday,finance,Create Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00113,Workday,finance,Update Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00114,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00115,Workday,finance,Approve Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00116,Workday,finance,Archive Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00117,Workday,finance,Submit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00118,Workday,finance,Escalate Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00119,Workday,finance,Restore Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00120,Workday,finance,Reject Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00121,Workday,finance,Create Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00122,Workday,finance,Escalate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00123,Workday,finance,Reject Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00124,Workday,finance,Edit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00125,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00126,Workday,finance,Approve Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00127,Workday,finance,Clone Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00128,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00129,Workday,finance,Archive Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00130,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00131,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00132,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00133,Workday,finance,Escalate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00134,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00135,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00136,Workday,finance,Restore Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00137,Workday,finance,Restore Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00138,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00139,Workday,finance,Submit Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00140,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00141,Workday,finance,Approve Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00142,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00143,Workday,finance,Create Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00144,Workday,finance,Create Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00145,Workday,finance,Edit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00146,Workday,finance,Reject Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00147,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00148,Workday,finance,Restore Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00149,Workday,finance,Archive Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00150,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00151,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00152,Workday,finance,Archive Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00153,Workday,finance,Edit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00154,Workday,finance,Search Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00155,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00156,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00157,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00158,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00159,Workday,finance,Route Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00160,Workday,finance,Escalate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00161,Workday,finance,Submit Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00162,Workday,finance,Approve Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00163,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00164,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00165,Workday,finance,Restore Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00166,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00167,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00168,Workday,finance,Submit Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00169,Workday,finance,Validate Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00170,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00171,Workday,finance,Create Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00172,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00173,Workday,finance,Update Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00174,Workday,finance,Reject Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00175,Workday,finance,Create Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00176,Workday,finance,Route Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00177,Workday,finance,Update Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00178,Workday,finance,Route Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00179,Workday,finance,Search Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00180,Workday,finance,Search Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00181,Workday,finance,Validate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00182,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00183,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00184,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00185,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00186,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00187,Workday,finance,Update Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00188,Workday,finance,Validate Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Low
WOR-FIN-00189,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00190,Workday,finance,Validate Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00191,Workday,finance,Submit Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00192,Workday,finance,Archive Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Low
WOR-FIN-00193,Workday,finance,Update Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00194,Workday,finance,Clone Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00195,Workday,finance,Search Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00196,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,Medium
WOR-FIN-00197,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00198,Workday,finance,Delete Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00199,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,High
WOR-FIN-00200,Workday,finance,Restore Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00201,Workday,finance,Submit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00202,Workday,finance,Update Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00203,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00204,Workday,finance,Submit Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00205,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00206,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00207,Workday,finance,Clone Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00208,Workday,finance,Route Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00209,Workday,finance,Delete Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00210,Workday,finance,Clone Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00211,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00212,Workday,finance,Approve Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00213,Workday,finance,Reject Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00214,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00215,Workday,finance,Update Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00216,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,High
WOR-FIN-00217,Workday,finance,Delete Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00218,Workday,finance,Search Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Medium
WOR-FIN-00219,Workday,finance,Route Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00220,Workday,finance,Search Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00221,Workday,finance,Route Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00222,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00223,Workday,finance,Clone Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00224,Workday,finance,Route Workday finance,Workday test data ready,Create record > route approval > verify status,Success,Medium
WOR-FIN-00225,Workday,finance,Clone Workday finance,Workday test data ready,Initiate integration > check queue > confirm completion,Success,High
WOR-FIN-00226,Workday,finance,Reject Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00227,Workday,finance,Edit Workday finance,Workday test data ready,Submit transaction > sync system > reconcile report,Success,Low
WOR-FIN-00228,Workday,finance,Archive Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Medium
WOR-FIN-00229,Workday,finance,Validate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,High
WOR-FIN-00230,Workday,finance,Escalate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
WOR-FIN-00231,Workday,finance,Escalate Workday finance,Workday test data ready,Open module > perform action > validate result,Success,Low
