Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
TEA-WOR-00001,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-WOR-00002,Teamcenter,workflow,Search Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00003,Teamcenter,workflow,Validate Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00004,Teamcenter,workflow,Archive Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-WOR-00005,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00006,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00007,Teamcenter,workflow,Reject Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00008,Teamcenter,workflow,Validate Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00009,Teamcenter,workflow,Validate Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-WOR-00010,Teamcenter,workflow,Route Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00011,Teamcenter,workflow,Escalate Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00012,Teamcenter,workflow,Edit Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00013,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-WOR-00014,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-WOR-00015,Teamcenter,workflow,Search Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00016,Teamcenter,workflow,Escalate Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-WOR-00017,Teamcenter,workflow,Update Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00018,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00019,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00020,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-WOR-00021,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00022,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-WOR-00023,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-WOR-00024,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-WOR-00025,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00026,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00027,Teamcenter,workflow,Archive Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-WOR-00028,Teamcenter,workflow,Route Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-WOR-00029,Teamcenter,workflow,Edit Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00030,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00031,Teamcenter,workflow,Search Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00032,Teamcenter,workflow,Delete Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-WOR-00033,Teamcenter,workflow,Reject Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00034,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00035,Teamcenter,workflow,Route Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00036,Teamcenter,workflow,Search Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00037,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-WOR-00038,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00039,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00040,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-WOR-00041,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00042,Teamcenter,workflow,Archive Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-WOR-00043,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-WOR-00044,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-WOR-00045,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-WOR-00046,Teamcenter,workflow,Reject Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00047,Teamcenter,workflow,Escalate Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-WOR-00048,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00049,Teamcenter,workflow,Delete Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00050,Teamcenter,workflow,Restore Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-WOR-00051,Teamcenter,workflow,Create Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-WOR-00052,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Medium
TEA-WOR-00053,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Low
TEA-WOR-00054,Teamcenter,workflow,Escalate Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,High
TEA-WOR-00055,Teamcenter,workflow,Submit Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Low
TEA-WOR-00056,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,High
TEA-WOR-00057,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00058,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00059,Teamcenter,workflow,Clone Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,High
TEA-WOR-00060,Teamcenter,workflow,Reject Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Low
TEA-WOR-00061,Teamcenter,workflow,Archive Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00062,Teamcenter,workflow,Approve Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,High
TEA-WOR-00063,Teamcenter,workflow,Update Teamcenter workflow,Teamcenter test data ready,Initiate integration > check queue > confirm completion,Success,Medium
TEA-WOR-00064,Teamcenter,workflow,Archive Teamcenter workflow,Teamcenter test data ready,Open module > perform action > validate result,Success,Low
TEA-WOR-00065,Teamcenter,workflow,Validate Teamcenter workflow,Teamcenter test data ready,Create record > route approval > verify status,Success,Medium
TEA-WOR-00066,Teamcenter,workflow,Edit Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
TEA-WOR-00067,Teamcenter,workflow,Delete Teamcenter workflow,Teamcenter test data ready,Submit transaction > sync system > reconcile report,Success,Medium
