Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
API-RES-00001,API,rest,rest,B2B API,Schema -> Contract -> Deploy -> Monitor,Regression,Create API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00002,API,rest,rest,Internal API,Schema -> Contract -> Deploy -> Monitor,Accessibility,Delete API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00003,API,rest,rest,Public API,Sync -> Retry -> Recover,Functional,Validate API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00004,API,rest,rest,Internal API,Create -> Validate -> Respond,Accessibility,Edit API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00005,API,rest,rest,B2B API,Auth -> Call -> Verify -> Log,Accessibility,Edit API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00006,API,rest,rest,Internal API,Sync -> Retry -> Recover,Regression,Approve API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00007,API,rest,rest,Partner API,Schema -> Contract -> Deploy -> Monitor,UI,Validate API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00008,API,rest,rest,Public API,Sync -> Retry -> Recover,Accessibility,Delete API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00009,API,rest,rest,B2B API,Auth -> Call -> Verify -> Log,Security,Edit API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-RES-00010,API,rest,rest,Partner API,Sync -> Retry -> Recover,Integration,Restore API rest,API access and test data available,"1. Open rest.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
