Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AZU-SEC-00001,Azure,security,security,Data,Provision -> Validate -> Monitor -> Remediate,Accessibility,Update Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00002,Azure,security,security,Data,Deploy -> Scale -> Observe -> Rollback,Functional,Route Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00003,Azure,security,security,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Search Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00004,Azure,security,security,Platform,Create -> Protect -> Audit -> Report,Security,Delete Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00005,Azure,security,security,Platform,Provision -> Validate -> Monitor -> Remediate,Regression,Clone Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00006,Azure,security,security,DevOps,Deploy -> Scale -> Observe -> Rollback,Performance,Update Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00007,Azure,security,security,DevOps,Provision -> Validate -> Monitor -> Remediate,Accessibility,Update Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00008,Azure,security,security,Data,Deploy -> Scale -> Observe -> Rollback,UI,Delete Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00009,Azure,security,security,DevOps,Create -> Protect -> Audit -> Report,Functional,Restore Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00010,Azure,security,security,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Restore Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00011,Azure,security,security,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Create Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00012,Azure,security,security,Data,Deploy -> Scale -> Observe -> Rollback,Accessibility,Search Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00013,Azure,security,security,Platform,Create -> Protect -> Audit -> Report,Performance,Update Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-SEC-00014,Azure,security,security,Platform,Create -> Protect -> Audit -> Report,Functional,Create Azure security,Azure access and test data available,"1. Open security.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
