Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-OFF-00001,Android,offline,offline,FinTech,Offline -> Sync -> Resolve,Performance,Validate Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00002,Android,offline,offline,Healthcare,Launch -> Authenticate -> Use -> Logout,Security,Approve Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00003,Android,offline,offline,Healthcare,Launch -> Authenticate -> Use -> Logout,Functional,Approve Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00004,Android,offline,offline,Enterprise,Launch -> Authenticate -> Use -> Logout,UI,Reject Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00005,Android,offline,offline,FinTech,Offline -> Sync -> Resolve,Integration,Submit Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00006,Android,offline,offline,Consumer,Launch -> Authenticate -> Use -> Logout,UI,Restore Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00007,Android,offline,offline,FinTech,Permission -> Action -> Persist,Security,Route Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00008,Android,offline,offline,FinTech,Launch -> Authenticate -> Use -> Logout,Performance,Archive Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00009,Android,offline,offline,FinTech,Push -> Open -> Verify,UI,Update Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00010,Android,offline,offline,Enterprise,Launch -> Authenticate -> Use -> Logout,Security,Approve Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00011,Android,offline,offline,FinTech,Launch -> Authenticate -> Use -> Logout,Performance,Restore Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00012,Android,offline,offline,Consumer,Launch -> Authenticate -> Use -> Logout,Functional,Restore Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-OFF-00013,Android,offline,offline,Healthcare,Offline -> Sync -> Resolve,Security,Escalate Android offline,Android access and test data available,"1. Open offline.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
