Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
API-GRP-00001,API,grpc,grpc,Public API,Sync -> Retry -> Recover,Performance,Route API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00002,API,grpc,grpc,Partner API,Schema -> Contract -> Deploy -> Monitor,Functional,Validate API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00003,API,grpc,grpc,Partner API,Schema -> Contract -> Deploy -> Monitor,Integration,Route API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00004,API,grpc,grpc,Public API,Create -> Validate -> Respond,Security,Create API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00005,API,grpc,grpc,Public API,Create -> Validate -> Respond,Regression,Escalate API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00006,API,grpc,grpc,Public API,Auth -> Call -> Verify -> Log,UI,Submit API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00007,API,grpc,grpc,Partner API,Auth -> Call -> Verify -> Log,Accessibility,Clone API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00008,API,grpc,grpc,Partner API,Schema -> Contract -> Deploy -> Monitor,Integration,Search API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00009,API,grpc,grpc,B2B API,Schema -> Contract -> Deploy -> Monitor,Accessibility,Restore API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00010,API,grpc,grpc,Public API,Sync -> Retry -> Recover,Integration,Route API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00011,API,grpc,grpc,B2B API,Schema -> Contract -> Deploy -> Monitor,Functional,Archive API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
API-GRP-00012,API,grpc,grpc,Internal API,Sync -> Retry -> Recover,Regression,Update API grpc,API access and test data available,"1. Open grpc.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""method"": ""GET"", ""endpoint"": ""/v1/items"", ""auth"": ""OAuth2"", ""payload"": ""{}""}"
