Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-STO-00001,GCP,storage,storage,Security,Provision -> Validate -> Monitor -> Remediate,Security,Restore GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00002,GCP,storage,storage,Platform,Provision -> Validate -> Monitor -> Remediate,Performance,Submit GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00003,GCP,storage,storage,Data,Create -> Protect -> Audit -> Report,Functional,Update GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00004,GCP,storage,storage,Security,Deploy -> Scale -> Observe -> Rollback,Integration,Escalate GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00005,GCP,storage,storage,DevOps,Create -> Protect -> Audit -> Report,UI,Update GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00006,GCP,storage,storage,DevOps,Provision -> Validate -> Monitor -> Remediate,Functional,Update GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00007,GCP,storage,storage,DevOps,Create -> Protect -> Audit -> Report,Integration,Reject GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00008,GCP,storage,storage,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Archive GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00009,GCP,storage,storage,Security,Create -> Protect -> Audit -> Report,Security,Search GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00010,GCP,storage,storage,Security,Create -> Protect -> Audit -> Report,Regression,Reject GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00011,GCP,storage,storage,DevOps,Provision -> Validate -> Monitor -> Remediate,Regression,Approve GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00012,GCP,storage,storage,Platform,Deploy -> Scale -> Observe -> Rollback,Security,Restore GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00013,GCP,storage,storage,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Create GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-STO-00014,GCP,storage,storage,Platform,Provision -> Validate -> Monitor -> Remediate,UI,Validate GCP storage,GCP access and test data available,"1. Open storage.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
