Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-M36-00001,Dynamics365,m365,Teams,Retail,Create -> Approve -> Post -> Report,Security,Route Retail Dynamics365 Teams,User has Dynamics365 access and Retail data exists,"1. Open Teams.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00002,Dynamics365,m365,Teams,Retail,Submit -> Validate -> Approve -> Complete,Accessibility,Delete Retail Dynamics365 Teams,User has Dynamics365 access and Retail data exists,"1. Open Teams.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00003,Dynamics365,m365,Teams,Retail,Draft -> Review -> Publish -> Archive,Integration,Escalate Retail Dynamics365 Teams,User has Dynamics365 access and Retail data exists,"1. Open Teams.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00004,Dynamics365,m365,Teams,Retail,Configure -> Execute -> Verify -> Close,Functional,Escalate Retail Dynamics365 Teams,User has Dynamics365 access and Retail data exists,"1. Open Teams.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00005,Dynamics365,m365,Teams,Manufacturing,Create -> Approve -> Post -> Report,Integration,Escalate Manufacturing Dynamics365 Teams,User has Dynamics365 access and Manufacturing data exists,"1. Open Teams.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00006,Dynamics365,m365,Teams,Manufacturing,Submit -> Validate -> Approve -> Complete,Workflow,Approve Manufacturing Dynamics365 Teams,User has Dynamics365 access and Manufacturing data exists,"1. Open Teams.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00007,Dynamics365,m365,Teams,Manufacturing,Draft -> Review -> Publish -> Archive,Regression,Archive Manufacturing Dynamics365 Teams,User has Dynamics365 access and Manufacturing data exists,"1. Open Teams.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00008,Dynamics365,m365,Teams,Manufacturing,Configure -> Execute -> Verify -> Close,Workflow,Edit Manufacturing Dynamics365 Teams,User has Dynamics365 access and Manufacturing data exists,"1. Open Teams.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00009,Dynamics365,m365,Teams,Healthcare,Create -> Approve -> Post -> Report,Performance,Reject Healthcare Dynamics365 Teams,User has Dynamics365 access and Healthcare data exists,"1. Open Teams.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-M36-00010,Dynamics365,m365,Teams,Healthcare,Submit -> Validate -> Approve -> Complete,Performance,Route Healthcare Dynamics365 Teams,User has Dynamics365 access and Healthcare data exists,"1. Open Teams.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
