Test Case ID,Platform,Suite,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
VV-COM-00001,Veeva,Commercial,Vault CRM,Pharma,Setup -> Review -> Approve -> Publish -> Archive,Functional,Escalate Pharma Veeva Vault CRM,User has Veeva access and Pharma data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00002,Veeva,Commercial,Vault CRM,Pharma,Create -> Submit -> Approve -> Release -> Monitor,Security,Edit Pharma Veeva Vault CRM,User has Veeva access and Pharma data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00003,Veeva,Commercial,Vault CRM,Pharma,Author -> Review -> Sign -> Distribute -> Track,Functional,Update Pharma Veeva Vault CRM,User has Veeva access and Pharma data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00004,Veeva,Commercial,Vault CRM,Pharma,Plan -> Execute -> Verify -> Close -> Audit,Workflow,Update Pharma Veeva Vault CRM,User has Veeva access and Pharma data is available,"1. Open Vault CRM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00005,Veeva,Commercial,Vault CRM,Pharma,Content -> Approval -> HCP Delivery -> Analytics,Data Migration,Restore Pharma Veeva Vault CRM,User has Veeva access and Pharma data is available,"1. Open Vault CRM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00006,Veeva,Commercial,Vault CRM,Biotech,Setup -> Review -> Approve -> Publish -> Archive,Accessibility,Edit Biotech Veeva Vault CRM,User has Veeva access and Biotech data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00007,Veeva,Commercial,Vault CRM,Biotech,Create -> Submit -> Approve -> Release -> Monitor,Regression,Update Biotech Veeva Vault CRM,User has Veeva access and Biotech data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00008,Veeva,Commercial,Vault CRM,Biotech,Author -> Review -> Sign -> Distribute -> Track,Security,Reject Biotech Veeva Vault CRM,User has Veeva access and Biotech data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00009,Veeva,Commercial,Vault CRM,Biotech,Plan -> Execute -> Verify -> Close -> Audit,Regression,Validate Biotech Veeva Vault CRM,User has Veeva access and Biotech data is available,"1. Open Vault CRM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00010,Veeva,Commercial,Vault CRM,Biotech,Content -> Approval -> HCP Delivery -> Analytics,Regression,Delete Biotech Veeva Vault CRM,User has Veeva access and Biotech data is available,"1. Open Vault CRM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,High,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00011,Veeva,Commercial,Vault CRM,Medical Devices,Setup -> Review -> Approve -> Publish -> Archive,Performance,Submit Medical Devices Veeva Vault CRM,User has Veeva access and Medical Devices data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00012,Veeva,Commercial,Vault CRM,Medical Devices,Create -> Submit -> Approve -> Release -> Monitor,Regression,Delete Medical Devices Veeva Vault CRM,User has Veeva access and Medical Devices data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Accessibility,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00013,Veeva,Commercial,Vault CRM,Medical Devices,Author -> Review -> Sign -> Distribute -> Track,Security,Route Medical Devices Veeva Vault CRM,User has Veeva access and Medical Devices data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Low,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00014,Veeva,Commercial,Vault CRM,Medical Devices,Plan -> Execute -> Verify -> Close -> Audit,Security,Reject Medical Devices Veeva Vault CRM,User has Veeva access and Medical Devices data is available,"1. Open Vault CRM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00015,Veeva,Commercial,Vault CRM,Medical Devices,Content -> Approval -> HCP Delivery -> Analytics,Integration,Archive Medical Devices Veeva Vault CRM,User has Veeva access and Medical Devices data is available,"1. Open Vault CRM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00016,Veeva,Commercial,Vault CRM,Consumer Health,Setup -> Review -> Approve -> Publish -> Archive,Integration,Escalate Consumer Health Veeva Vault CRM,User has Veeva access and Consumer Health data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00017,Veeva,Commercial,Vault CRM,Consumer Health,Create -> Submit -> Approve -> Release -> Monitor,Performance,Approve Consumer Health Veeva Vault CRM,User has Veeva access and Consumer Health data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,Medium,Workflow,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00018,Veeva,Commercial,Vault CRM,Consumer Health,Author -> Review -> Sign -> Distribute -> Track,UI,Validate Consumer Health Veeva Vault CRM,User has Veeva access and Consumer Health data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00019,Veeva,Commercial,Vault CRM,Consumer Health,Plan -> Execute -> Verify -> Close -> Audit,Regression,Approve Consumer Health Veeva Vault CRM,User has Veeva access and Consumer Health data is available,"1. Open Vault CRM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,Medium,Security,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00020,Veeva,Commercial,Vault CRM,Consumer Health,Content -> Approval -> HCP Delivery -> Analytics,Data Migration,Clone Consumer Health Veeva Vault CRM,User has Veeva access and Consumer Health data is available,"1. Open Vault CRM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Low,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00021,Veeva,Commercial,Vault CRM,CRO,Setup -> Review -> Approve -> Publish -> Archive,Functional,Clone CRO Veeva Vault CRM,User has Veeva access and CRO data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,High,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00022,Veeva,Commercial,Vault CRM,CRO,Create -> Submit -> Approve -> Release -> Monitor,Regression,Validate CRO Veeva Vault CRM,User has Veeva access and CRO data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00023,Veeva,Commercial,Vault CRM,CRO,Author -> Review -> Sign -> Distribute -> Track,Integration,Search CRO Veeva Vault CRM,User has Veeva access and CRO data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00024,Veeva,Commercial,Vault CRM,CRO,Plan -> Execute -> Verify -> Close -> Audit,Performance,Approve CRO Veeva Vault CRM,User has Veeva access and CRO data is available,"1. Open Vault CRM.
2. Execute: Plan -> Execute -> Verify -> Close -> Audit.
3. Verify compliance, audit trail, and downstream status.",Plan -> Execute -> Verify -> Close -> Audit completes successfully with compliance and audit evidence,High,Integration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00025,Veeva,Commercial,Vault CRM,CRO,Content -> Approval -> HCP Delivery -> Analytics,Functional,Edit CRO Veeva Vault CRM,User has Veeva access and CRO data is available,"1. Open Vault CRM.
2. Execute: Content -> Approval -> HCP Delivery -> Analytics.
3. Verify compliance, audit trail, and downstream status.",Content -> Approval -> HCP Delivery -> Analytics completes successfully with compliance and audit evidence,Medium,Functional,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00026,Veeva,Commercial,Vault CRM,Manufacturing,Setup -> Review -> Approve -> Publish -> Archive,Functional,Search Manufacturing Veeva Vault CRM,User has Veeva access and Manufacturing data is available,"1. Open Vault CRM.
2. Execute: Setup -> Review -> Approve -> Publish -> Archive.
3. Verify compliance, audit trail, and downstream status.",Setup -> Review -> Approve -> Publish -> Archive completes successfully with compliance and audit evidence,Low,UI,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00027,Veeva,Commercial,Vault CRM,Manufacturing,Create -> Submit -> Approve -> Release -> Monitor,Security,Approve Manufacturing Veeva Vault CRM,User has Veeva access and Manufacturing data is available,"1. Open Vault CRM.
2. Execute: Create -> Submit -> Approve -> Release -> Monitor.
3. Verify compliance, audit trail, and downstream status.",Create -> Submit -> Approve -> Release -> Monitor completes successfully with compliance and audit evidence,High,Regression,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
VV-COM-00028,Veeva,Commercial,Vault CRM,Manufacturing,Author -> Review -> Sign -> Distribute -> Track,Data Migration,Update Manufacturing Veeva Vault CRM,User has Veeva access and Manufacturing data is available,"1. Open Vault CRM.
2. Execute: Author -> Review -> Sign -> Distribute -> Track.
3. Verify compliance, audit trail, and downstream status.",Author -> Review -> Sign -> Distribute -> Track completes successfully with compliance and audit evidence,Medium,Data Migration,"{""object"": ""Document"", ""status"": ""Draft"", ""owner"": ""QA Team"", ""region"": ""US""}"
