Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ADO-CAM-00001,AdobeExperienceCloud,campaign,Update AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-CAM-00002,AdobeExperienceCloud,campaign,Escalate AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-CAM-00003,AdobeExperienceCloud,campaign,Approve AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Medium
ADO-CAM-00004,AdobeExperienceCloud,campaign,Validate AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-CAM-00005,AdobeExperienceCloud,campaign,Clone AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-CAM-00006,AdobeExperienceCloud,campaign,Archive AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,High
ADO-CAM-00007,AdobeExperienceCloud,campaign,Clone AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,High
ADO-CAM-00008,AdobeExperienceCloud,campaign,Delete AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
ADO-CAM-00009,AdobeExperienceCloud,campaign,Restore AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-CAM-00010,AdobeExperienceCloud,campaign,Approve AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Medium
ADO-CAM-00011,AdobeExperienceCloud,campaign,Validate AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-CAM-00012,AdobeExperienceCloud,campaign,Clone AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Create record > route approval > verify status,Success,Low
ADO-CAM-00013,AdobeExperienceCloud,campaign,Escalate AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Open module > perform action > validate result,Success,Low
ADO-CAM-00014,AdobeExperienceCloud,campaign,Clone AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ADO-CAM-00015,AdobeExperienceCloud,campaign,Search AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ADO-CAM-00016,AdobeExperienceCloud,campaign,Clone AdobeExperienceCloud campaign,AdobeExperienceCloud test data ready,Initiate integration > check queue > confirm completion,Success,Low
