Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-SAP-00001,TopProducts,sap,sap,Life Sciences,Navigate -> Execute -> Validate -> Report,Functional,Edit TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00002,TopProducts,sap,sap,Enterprise,Navigate -> Execute -> Validate -> Report,Security,Approve TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00003,TopProducts,sap,sap,CRM,Navigate -> Execute -> Validate -> Report,Functional,Search TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00004,TopProducts,sap,sap,ERP,Navigate -> Execute -> Validate -> Report,Functional,Edit TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00005,TopProducts,sap,sap,Enterprise,Create -> Approve -> Close -> Audit,Performance,Approve TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00006,TopProducts,sap,sap,ERP,Navigate -> Execute -> Validate -> Report,Integration,Reject TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00007,TopProducts,sap,sap,ERP,Create -> Approve -> Close -> Audit,Security,Update TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00008,TopProducts,sap,sap,ERP,Create -> Approve -> Close -> Audit,Accessibility,Validate TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00009,TopProducts,sap,sap,CRM,Navigate -> Execute -> Validate -> Report,Security,Update TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00010,TopProducts,sap,sap,Life Sciences,Create -> Approve -> Close -> Audit,Accessibility,Restore TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00011,TopProducts,sap,sap,Enterprise,Create -> Approve -> Close -> Audit,Performance,Submit TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00012,TopProducts,sap,sap,CRM,Navigate -> Execute -> Validate -> Report,Functional,Create TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00013,TopProducts,sap,sap,Life Sciences,Create -> Approve -> Close -> Audit,Accessibility,Reject TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-SAP-00014,TopProducts,sap,sap,Life Sciences,Navigate -> Execute -> Validate -> Report,Integration,Submit TopProducts sap,TopProducts access and test data available,"1. Open sap.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
