Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
GOO-DRI-00001,GoogleWorkspace,drive,Create GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-DRI-00002,GoogleWorkspace,drive,Submit GoogleWorkspace drive,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-DRI-00003,GoogleWorkspace,drive,Edit GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-DRI-00004,GoogleWorkspace,drive,Update GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-DRI-00005,GoogleWorkspace,drive,Validate GoogleWorkspace drive,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-DRI-00006,GoogleWorkspace,drive,Submit GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-DRI-00007,GoogleWorkspace,drive,Delete GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-DRI-00008,GoogleWorkspace,drive,Route GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-DRI-00009,GoogleWorkspace,drive,Edit GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-DRI-00010,GoogleWorkspace,drive,Delete GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,High
GOO-DRI-00011,GoogleWorkspace,drive,Reject GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-DRI-00012,GoogleWorkspace,drive,Reject GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
GOO-DRI-00013,GoogleWorkspace,drive,Create GoogleWorkspace drive,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,Medium
GOO-DRI-00014,GoogleWorkspace,drive,Approve GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-DRI-00015,GoogleWorkspace,drive,Validate GoogleWorkspace drive,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-DRI-00016,GoogleWorkspace,drive,Archive GoogleWorkspace drive,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-DRI-00017,GoogleWorkspace,drive,Edit GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,High
GOO-DRI-00018,GoogleWorkspace,drive,Route GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-DRI-00019,GoogleWorkspace,drive,Archive GoogleWorkspace drive,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,High
GOO-DRI-00020,GoogleWorkspace,drive,Update GoogleWorkspace drive,GoogleWorkspace test data ready,Initiate integration > check queue > confirm completion,Success,Medium
GOO-DRI-00021,GoogleWorkspace,drive,Restore GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-DRI-00022,GoogleWorkspace,drive,Create GoogleWorkspace drive,GoogleWorkspace test data ready,Create record > route approval > verify status,Success,Medium
GOO-DRI-00023,GoogleWorkspace,drive,Archive GoogleWorkspace drive,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-DRI-00024,GoogleWorkspace,drive,Archive GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Low
GOO-DRI-00025,GoogleWorkspace,drive,Edit GoogleWorkspace drive,GoogleWorkspace test data ready,Submit transaction > sync system > reconcile report,Success,High
GOO-DRI-00026,GoogleWorkspace,drive,Validate GoogleWorkspace drive,GoogleWorkspace test data ready,Open module > perform action > validate result,Success,Medium
