Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-SAL-00001,Dynamics365,sales,Leads,Retail,Create -> Approve -> Post -> Report,Security,Clone Retail Dynamics365 Leads,User has Dynamics365 access and Retail data exists,"1. Open Leads.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00002,Dynamics365,sales,Leads,Retail,Submit -> Validate -> Approve -> Complete,UI,Reject Retail Dynamics365 Leads,User has Dynamics365 access and Retail data exists,"1. Open Leads.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00003,Dynamics365,sales,Leads,Retail,Draft -> Review -> Publish -> Archive,Performance,Submit Retail Dynamics365 Leads,User has Dynamics365 access and Retail data exists,"1. Open Leads.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00004,Dynamics365,sales,Leads,Retail,Configure -> Execute -> Verify -> Close,Integration,Escalate Retail Dynamics365 Leads,User has Dynamics365 access and Retail data exists,"1. Open Leads.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00005,Dynamics365,sales,Leads,Manufacturing,Create -> Approve -> Post -> Report,Functional,Archive Manufacturing Dynamics365 Leads,User has Dynamics365 access and Manufacturing data exists,"1. Open Leads.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00006,Dynamics365,sales,Leads,Manufacturing,Submit -> Validate -> Approve -> Complete,Integration,Delete Manufacturing Dynamics365 Leads,User has Dynamics365 access and Manufacturing data exists,"1. Open Leads.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00007,Dynamics365,sales,Leads,Manufacturing,Draft -> Review -> Publish -> Archive,Workflow,Archive Manufacturing Dynamics365 Leads,User has Dynamics365 access and Manufacturing data exists,"1. Open Leads.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00008,Dynamics365,sales,Leads,Manufacturing,Configure -> Execute -> Verify -> Close,Accessibility,Approve Manufacturing Dynamics365 Leads,User has Dynamics365 access and Manufacturing data exists,"1. Open Leads.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00009,Dynamics365,sales,Leads,Healthcare,Create -> Approve -> Post -> Report,Workflow,Update Healthcare Dynamics365 Leads,User has Dynamics365 access and Healthcare data exists,"1. Open Leads.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-SAL-00010,Dynamics365,sales,Leads,Healthcare,Submit -> Validate -> Approve -> Complete,Integration,Escalate Healthcare Dynamics365 Leads,User has Dynamics365 access and Healthcare data exists,"1. Open Leads.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
