Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
GCP-IAM-00001,GCP,iam,iam,Platform,Provision -> Validate -> Monitor -> Remediate,Functional,Delete GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00002,GCP,iam,iam,Platform,Create -> Protect -> Audit -> Report,Regression,Validate GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00003,GCP,iam,iam,DevOps,Provision -> Validate -> Monitor -> Remediate,Security,Submit GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00004,GCP,iam,iam,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Update GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00005,GCP,iam,iam,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Delete GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00006,GCP,iam,iam,DevOps,Create -> Protect -> Audit -> Report,Regression,Submit GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00007,GCP,iam,iam,Security,Provision -> Validate -> Monitor -> Remediate,Security,Delete GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00008,GCP,iam,iam,Data,Deploy -> Scale -> Observe -> Rollback,Security,Validate GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00009,GCP,iam,iam,Platform,Create -> Protect -> Audit -> Report,Regression,Approve GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00010,GCP,iam,iam,DevOps,Provision -> Validate -> Monitor -> Remediate,Integration,Clone GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00011,GCP,iam,iam,Data,Provision -> Validate -> Monitor -> Remediate,Performance,Update GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00012,GCP,iam,iam,DevOps,Create -> Protect -> Audit -> Report,Accessibility,Delete GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
GCP-IAM-00013,GCP,iam,iam,Security,Create -> Protect -> Audit -> Report,Performance,Delete GCP iam,GCP access and test data available,"1. Open iam.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""GCS"", ""region"": ""us-central1"", ""iam_role"": ""Tester""}"
