Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
ORA-HCM-00001,OracleApps,hcm,Core HR,Enterprise,Create -> Approve -> Post -> Report,Workflow,Escalate Enterprise OracleApps Core HR,User has OracleApps access and Enterprise data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00002,OracleApps,hcm,Core HR,Enterprise,Submit -> Validate -> Approve -> Complete,Security,Edit Enterprise OracleApps Core HR,User has OracleApps access and Enterprise data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00003,OracleApps,hcm,Core HR,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Escalate Enterprise OracleApps Core HR,User has OracleApps access and Enterprise data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00004,OracleApps,hcm,Core HR,Enterprise,Configure -> Execute -> Verify -> Close,Accessibility,Reject Enterprise OracleApps Core HR,User has OracleApps access and Enterprise data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00005,OracleApps,hcm,Core HR,Retail,Create -> Approve -> Post -> Report,Performance,Search Retail OracleApps Core HR,User has OracleApps access and Retail data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00006,OracleApps,hcm,Core HR,Retail,Submit -> Validate -> Approve -> Complete,Workflow,Route Retail OracleApps Core HR,User has OracleApps access and Retail data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00007,OracleApps,hcm,Core HR,Retail,Draft -> Review -> Publish -> Archive,Performance,Edit Retail OracleApps Core HR,User has OracleApps access and Retail data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00008,OracleApps,hcm,Core HR,Retail,Configure -> Execute -> Verify -> Close,UI,Validate Retail OracleApps Core HR,User has OracleApps access and Retail data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00009,OracleApps,hcm,Core HR,Manufacturing,Create -> Approve -> Post -> Report,Accessibility,Create Manufacturing OracleApps Core HR,User has OracleApps access and Manufacturing data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00010,OracleApps,hcm,Core HR,Manufacturing,Submit -> Validate -> Approve -> Complete,Accessibility,Create Manufacturing OracleApps Core HR,User has OracleApps access and Manufacturing data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00011,OracleApps,hcm,Core HR,Manufacturing,Draft -> Review -> Publish -> Archive,Workflow,Update Manufacturing OracleApps Core HR,User has OracleApps access and Manufacturing data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00012,OracleApps,hcm,Core HR,Manufacturing,Configure -> Execute -> Verify -> Close,Regression,Escalate Manufacturing OracleApps Core HR,User has OracleApps access and Manufacturing data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00013,OracleApps,hcm,Core HR,Healthcare,Create -> Approve -> Post -> Report,UI,Submit Healthcare OracleApps Core HR,User has OracleApps access and Healthcare data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00014,OracleApps,hcm,Core HR,Healthcare,Submit -> Validate -> Approve -> Complete,UI,Search Healthcare OracleApps Core HR,User has OracleApps access and Healthcare data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00015,OracleApps,hcm,Core HR,Healthcare,Draft -> Review -> Publish -> Archive,Integration,Create Healthcare OracleApps Core HR,User has OracleApps access and Healthcare data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00016,OracleApps,hcm,Core HR,Healthcare,Configure -> Execute -> Verify -> Close,Accessibility,Update Healthcare OracleApps Core HR,User has OracleApps access and Healthcare data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00017,OracleApps,hcm,Core HR,Public Sector,Create -> Approve -> Post -> Report,Functional,Reject Public Sector OracleApps Core HR,User has OracleApps access and Public Sector data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00018,OracleApps,hcm,Core HR,Public Sector,Submit -> Validate -> Approve -> Complete,Performance,Route Public Sector OracleApps Core HR,User has OracleApps access and Public Sector data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00019,OracleApps,hcm,Core HR,Public Sector,Draft -> Review -> Publish -> Archive,UI,Submit Public Sector OracleApps Core HR,User has OracleApps access and Public Sector data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00020,OracleApps,hcm,Core HR,Public Sector,Configure -> Execute -> Verify -> Close,Security,Delete Public Sector OracleApps Core HR,User has OracleApps access and Public Sector data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00021,OracleApps,hcm,Core HR,Technology,Create -> Approve -> Post -> Report,Workflow,Archive Technology OracleApps Core HR,User has OracleApps access and Technology data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00022,OracleApps,hcm,Core HR,Technology,Submit -> Validate -> Approve -> Complete,Accessibility,Submit Technology OracleApps Core HR,User has OracleApps access and Technology data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00023,OracleApps,hcm,Core HR,Technology,Draft -> Review -> Publish -> Archive,Performance,Validate Technology OracleApps Core HR,User has OracleApps access and Technology data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00024,OracleApps,hcm,Core HR,Technology,Configure -> Execute -> Verify -> Close,UI,Escalate Technology OracleApps Core HR,User has OracleApps access and Technology data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00025,OracleApps,hcm,Core HR,Education,Create -> Approve -> Post -> Report,Workflow,Create Education OracleApps Core HR,User has OracleApps access and Education data exists,"1. Open Core HR.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00026,OracleApps,hcm,Core HR,Education,Submit -> Validate -> Approve -> Complete,Functional,Route Education OracleApps Core HR,User has OracleApps access and Education data exists,"1. Open Core HR.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00027,OracleApps,hcm,Core HR,Education,Draft -> Review -> Publish -> Archive,Performance,Search Education OracleApps Core HR,User has OracleApps access and Education data exists,"1. Open Core HR.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00028,OracleApps,hcm,Core HR,Education,Configure -> Execute -> Verify -> Close,Functional,Search Education OracleApps Core HR,User has OracleApps access and Education data exists,"1. Open Core HR.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00029,OracleApps,hcm,Recruiting,Enterprise,Create -> Approve -> Post -> Report,Accessibility,Escalate Enterprise OracleApps Recruiting,User has OracleApps access and Enterprise data exists,"1. Open Recruiting.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00030,OracleApps,hcm,Recruiting,Enterprise,Submit -> Validate -> Approve -> Complete,UI,Escalate Enterprise OracleApps Recruiting,User has OracleApps access and Enterprise data exists,"1. Open Recruiting.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00031,OracleApps,hcm,Recruiting,Enterprise,Draft -> Review -> Publish -> Archive,Integration,Create Enterprise OracleApps Recruiting,User has OracleApps access and Enterprise data exists,"1. Open Recruiting.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00032,OracleApps,hcm,Recruiting,Enterprise,Configure -> Execute -> Verify -> Close,Regression,Edit Enterprise OracleApps Recruiting,User has OracleApps access and Enterprise data exists,"1. Open Recruiting.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00033,OracleApps,hcm,Recruiting,Retail,Create -> Approve -> Post -> Report,Functional,Delete Retail OracleApps Recruiting,User has OracleApps access and Retail data exists,"1. Open Recruiting.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00034,OracleApps,hcm,Recruiting,Retail,Submit -> Validate -> Approve -> Complete,Workflow,Clone Retail OracleApps Recruiting,User has OracleApps access and Retail data exists,"1. Open Recruiting.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00035,OracleApps,hcm,Recruiting,Retail,Draft -> Review -> Publish -> Archive,Workflow,Escalate Retail OracleApps Recruiting,User has OracleApps access and Retail data exists,"1. Open Recruiting.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00036,OracleApps,hcm,Recruiting,Retail,Configure -> Execute -> Verify -> Close,Security,Update Retail OracleApps Recruiting,User has OracleApps access and Retail data exists,"1. Open Recruiting.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00037,OracleApps,hcm,Recruiting,Manufacturing,Create -> Approve -> Post -> Report,Security,Submit Manufacturing OracleApps Recruiting,User has OracleApps access and Manufacturing data exists,"1. Open Recruiting.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00038,OracleApps,hcm,Recruiting,Manufacturing,Submit -> Validate -> Approve -> Complete,UI,Route Manufacturing OracleApps Recruiting,User has OracleApps access and Manufacturing data exists,"1. Open Recruiting.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00039,OracleApps,hcm,Recruiting,Manufacturing,Draft -> Review -> Publish -> Archive,Performance,Validate Manufacturing OracleApps Recruiting,User has OracleApps access and Manufacturing data exists,"1. Open Recruiting.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00040,OracleApps,hcm,Recruiting,Manufacturing,Configure -> Execute -> Verify -> Close,Accessibility,Approve Manufacturing OracleApps Recruiting,User has OracleApps access and Manufacturing data exists,"1. Open Recruiting.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00041,OracleApps,hcm,Recruiting,Healthcare,Create -> Approve -> Post -> Report,Security,Restore Healthcare OracleApps Recruiting,User has OracleApps access and Healthcare data exists,"1. Open Recruiting.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00042,OracleApps,hcm,Recruiting,Healthcare,Submit -> Validate -> Approve -> Complete,Integration,Route Healthcare OracleApps Recruiting,User has OracleApps access and Healthcare data exists,"1. Open Recruiting.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00043,OracleApps,hcm,Recruiting,Healthcare,Draft -> Review -> Publish -> Archive,Functional,Approve Healthcare OracleApps Recruiting,User has OracleApps access and Healthcare data exists,"1. Open Recruiting.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00044,OracleApps,hcm,Recruiting,Healthcare,Configure -> Execute -> Verify -> Close,Functional,Restore Healthcare OracleApps Recruiting,User has OracleApps access and Healthcare data exists,"1. Open Recruiting.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Low,UI,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
ORA-HCM-00045,OracleApps,hcm,Recruiting,Public Sector,Create -> Approve -> Post -> Report,Security,Approve Public Sector OracleApps Recruiting,User has OracleApps access and Public Sector data exists,"1. Open Recruiting.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Accessibility,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
