Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AWS-S3-00001,AWS,s3,s3,Security,Provision -> Validate -> Monitor -> Remediate,UI,Archive AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00002,AWS,s3,s3,Security,Provision -> Validate -> Monitor -> Remediate,Accessibility,Submit AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00003,AWS,s3,s3,Security,Deploy -> Scale -> Observe -> Rollback,Regression,Route AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00004,AWS,s3,s3,Security,Create -> Protect -> Audit -> Report,Accessibility,Clone AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00005,AWS,s3,s3,DevOps,Create -> Protect -> Audit -> Report,Security,Search AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00006,AWS,s3,s3,Data,Deploy -> Scale -> Observe -> Rollback,Regression,Route AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00007,AWS,s3,s3,DevOps,Deploy -> Scale -> Observe -> Rollback,Performance,Clone AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00008,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Accessibility,Route AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00009,AWS,s3,s3,DevOps,Create -> Protect -> Audit -> Report,Regression,Submit AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00010,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Accessibility,Escalate AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00011,AWS,s3,s3,Platform,Provision -> Validate -> Monitor -> Remediate,Security,Submit AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00012,AWS,s3,s3,Security,Create -> Protect -> Audit -> Report,Integration,Update AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00013,AWS,s3,s3,Security,Provision -> Validate -> Monitor -> Remediate,Integration,Reject AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00014,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Regression,Reject AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00015,AWS,s3,s3,Data,Deploy -> Scale -> Observe -> Rollback,Performance,Create AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00016,AWS,s3,s3,DevOps,Provision -> Validate -> Monitor -> Remediate,UI,Archive AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00017,AWS,s3,s3,Platform,Provision -> Validate -> Monitor -> Remediate,Functional,Restore AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00018,AWS,s3,s3,Data,Provision -> Validate -> Monitor -> Remediate,Functional,Approve AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00019,AWS,s3,s3,Security,Create -> Protect -> Audit -> Report,Performance,Edit AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00020,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Security,Create AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00021,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Performance,Escalate AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00022,AWS,s3,s3,Security,Deploy -> Scale -> Observe -> Rollback,Security,Archive AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00023,AWS,s3,s3,Data,Provision -> Validate -> Monitor -> Remediate,Performance,Reject AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00024,AWS,s3,s3,Security,Create -> Protect -> Audit -> Report,UI,Escalate AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00025,AWS,s3,s3,Platform,Provision -> Validate -> Monitor -> Remediate,Accessibility,Restore AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00026,AWS,s3,s3,Data,Provision -> Validate -> Monitor -> Remediate,Regression,Restore AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00027,AWS,s3,s3,Platform,Provision -> Validate -> Monitor -> Remediate,Integration,Create AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00028,AWS,s3,s3,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Create AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
AWS-S3-00029,AWS,s3,s3,Platform,Deploy -> Scale -> Observe -> Rollback,Integration,Archive AWS s3,AWS access and test data available,"1. Open s3.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""EC2"", ""region"": ""us-east-1"", ""iam_role"": ""Tester""}"
