Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AND-PAY-00001,Android,payments,payments,FinTech,Offline -> Sync -> Resolve,UI,Approve Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00002,Android,payments,payments,Healthcare,Permission -> Action -> Persist,Regression,Approve Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00003,Android,payments,payments,Enterprise,Offline -> Sync -> Resolve,Regression,Update Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00004,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,UI,Restore Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00005,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Integration,Route Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00006,Android,payments,payments,Healthcare,Permission -> Action -> Persist,Functional,Submit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00007,Android,payments,payments,Consumer,Permission -> Action -> Persist,Accessibility,Delete Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00008,Android,payments,payments,Consumer,Permission -> Action -> Persist,Functional,Approve Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00009,Android,payments,payments,Consumer,Launch -> Authenticate -> Use -> Logout,Functional,Edit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00010,Android,payments,payments,Healthcare,Launch -> Authenticate -> Use -> Logout,Functional,Submit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00011,Android,payments,payments,Consumer,Offline -> Sync -> Resolve,Accessibility,Route Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00012,Android,payments,payments,Healthcare,Offline -> Sync -> Resolve,Functional,Archive Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00013,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Accessibility,Archive Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00014,Android,payments,payments,FinTech,Push -> Open -> Verify,Integration,Update Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00015,Android,payments,payments,Enterprise,Push -> Open -> Verify,Accessibility,Update Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00016,Android,payments,payments,Enterprise,Offline -> Sync -> Resolve,Performance,Escalate Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00017,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Accessibility,Create Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00018,Android,payments,payments,FinTech,Push -> Open -> Verify,Integration,Approve Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00019,Android,payments,payments,Healthcare,Push -> Open -> Verify,UI,Submit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00020,Android,payments,payments,Consumer,Permission -> Action -> Persist,Regression,Edit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00021,Android,payments,payments,FinTech,Launch -> Authenticate -> Use -> Logout,Regression,Escalate Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00022,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Security,Reject Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00023,Android,payments,payments,Healthcare,Launch -> Authenticate -> Use -> Logout,Accessibility,Submit Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00024,Android,payments,payments,Enterprise,Launch -> Authenticate -> Use -> Logout,Accessibility,Search Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00025,Android,payments,payments,Healthcare,Launch -> Authenticate -> Use -> Logout,Functional,Approve Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
AND-PAY-00026,Android,payments,payments,Consumer,Offline -> Sync -> Resolve,Security,Validate Android payments,Android access and test data available,"1. Open payments.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""device"": ""Pixel 9"", ""os"": ""Android 15"", ""network"": ""5G""}"
