"ID","Title","Module","Sub-Module","Business Process","Industry","Priority","Type","Layer","Written Against","Roles","Preconditions","Steps","Expected Results","Automation Feasibility","API Hint","Frameworks","Compliance"
"SAP-FI-BNK-CM-001","FI-AR credit exposure UKM","FI","Credit Management","Credit Exposure Calculation","Banking","P1","positive","API","S/4HANA 2026","FI functional user","UKM (SAP Credit Management) active; customer credit segments defined","1. UKM_CASE → Open credit case
2. Review exposure (open orders + open AR)
3. Credit decision
4. Update credit limit","Exposure calculated correctly; credit decisions logged; breach of limit blocks orders automatically","Medium","BAPI_CREDITMANAGEMENT_GETDETAI","Gherkin; Playwright (API)","Supports SOX ITGC change-control evidence; retain the executed log"
"SAP-CO-CO-ADD-007","Preliminary Costing PCC","CO","PC","Execution","Manufacturing","P1","positive","API","S/4HANA 2026","CO functional user","Product Cost Collector exists","1. KKF6N
2. Trigger preliminary costing
3. Save","Preliminary cost estimate updated for repetitive manufacturing","Medium","BAPI_COSTESTIMATE_CREATE","Gherkin; Playwright (API)","Supports SOX ITGC change-control evidence; retain the executed log"
"SAP-MM-INT-FI-MM-001","Verify FI posting on MIGO GR","MM","FI-MM Integration","GR Valuation FI Posting","All","P1","integration","API","S/4HANA 2026","MM functional user","Material master price; GR movement type 101","1. ME21N PO
2. MIGO GR
3. MR03 Material document
4. FBL3N FI line items","GR/IR account credited; stock account debited; amounts match PO price; CO doc created","High","BAPI_GOODSMVT_CREATE","Gherkin; Playwright (API)",""
"SAP-SD-INT-FI-SD-001","Verify FI revenue on billing VFX3","SD","FI-SD Integration","Revenue Posting on Billing","All","P1","integration","API","S/4HANA 2026","SD functional user","Billing document; revenue account determination","1. VF01 Customer invoice
2. VFX3 Billing doc
3. FB03 FI document","Revenue account credited; customer AR debited; tax posted; COPA entry created","High","BAPI_BILLINGDOC_CREATE","Gherkin; Playwright (API)",""
"SAP-PP-INT-P2P-002","Complete P2P flow MD01→CO01→CO11N→MIGO→CO88","PP","Plan to Produce","Plan-to-Produce End-to-End","All","P1","integration","API","S/4HANA 2026","PP functional user","BOM; routing; work centers; MRP active; material master","1. MD01 → Run MRP for plant
2. CO40 → Convert planned order
3. CO02 → Release production order
4. MIGO 261 → Issue components
5. CO11N → Confirm operations
6. MIGO 101 → Receive finished goods
7. CO88 → Settle order","FG in stock; production costs settled; variance < tolerance; order status TECO and SETC; FI balanced","High","BAPI_PRODORD_CREATE + BAPI_GOODSMVT_CREATE + BAPI_ORDER_SETTLE","Gherkin; Playwright (API)",""
"SAP-QM-MFG-QM-001","Inspection at production operation","QM","Quality","In-Process Quality Check","Manufacturing","P1","positive","API","S/4HANA 2026","QM functional user","Inspection type 03 (in-process) active; inspection plan at routing operation","1. Trigger inspection at operation CO11N
2. QE11 → Record results
3. Defect recording
4. Rework order if needed","In-process inspection recorded; defect triggers rework; quality gate prevents downstream operation if failed","High","BAPI_QMEL_CREATE","Gherkin; Playwright (API)",""
"SAP-PM-IS-OG-001","Functional location inspection IP10","PM","Maintenance","Safety Equipment Inspection","Oil & Gas","P1","positive","API","S/4HANA 2026","PM functional user","FLOC with SIL classification; maintenance strategy","1. IP10 Maintenance plan for FLOC
2. IP30 Schedule plan
3. Inspection work order
4. Complete with measurement doc","Safety inspection completed on schedule; proof test results documented; SIL maintained","Medium","BAPI_ALM_ORDER_MAINTAIN","Gherkin; Playwright (API)",""
"SAP-HCM-HCM-BEN-001","Enroll employee in health benefit plan","HCM","Benefits","Benefit Plan Enrollment","All","P1","positive","API","S/4HANA 2026","HCM functional user","Benefit plan configured; IT0168 available","1. IT0168 → Enroll employee.
2. Select plan.
3. Enter coverage.
4. Save.","Enrollment created; premium deduction added to payroll","Medium","IT0168 / benefits","Gherkin; Playwright (API)",""
"SAP-PS-PS-BUD-001","Block overspend on WBS availability control","PS","Budget","WBS Budget Availability Check","All","P1","negative","API","S/4HANA 2026","PS functional user","WBS with budget; availability control active","1. Attempt cost posting exceeding WBS budget.
2. Review system response.","System warns or blocks per tolerance profile; budget usage tracked","Medium","CJ30 / availability control","Gherkin; Playwright (API)",""
"SAP-WM-WM-INV-001","Execute physical inventory count in WM LI01","WM","Warehouse Management","WM Physical Inventory Count","All","P1","positive","API","S/4HANA 2026","WM functional user","WH configured; stock in bins","1. LI01 → Create count document.
2. LI11 → Enter count.
3. LI20 → Post differences.","Count document completed; differences posted; bin stocks corrected","Medium","LI01 / WM inventory count","Gherkin; Playwright (API)",""
