Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
TOP-D36-00001,TopProducts,d365,d365,Enterprise,Create -> Approve -> Close -> Audit,Accessibility,Clone TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00002,TopProducts,d365,d365,Enterprise,Navigate -> Execute -> Validate -> Report,Regression,Delete TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00003,TopProducts,d365,d365,ERP,Navigate -> Execute -> Validate -> Report,Regression,Edit TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00004,TopProducts,d365,d365,CRM,Navigate -> Execute -> Validate -> Report,Integration,Approve TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00005,TopProducts,d365,d365,Life Sciences,Create -> Approve -> Close -> Audit,Accessibility,Submit TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00006,TopProducts,d365,d365,Enterprise,Create -> Approve -> Close -> Audit,Security,Escalate TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00007,TopProducts,d365,d365,ERP,Create -> Approve -> Close -> Audit,UI,Edit TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00008,TopProducts,d365,d365,Enterprise,Create -> Approve -> Close -> Audit,Security,Update TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00009,TopProducts,d365,d365,Life Sciences,Navigate -> Execute -> Validate -> Report,UI,Create TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00010,TopProducts,d365,d365,CRM,Create -> Approve -> Close -> Audit,Performance,Update TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
TOP-D36-00011,TopProducts,d365,d365,ERP,Create -> Approve -> Close -> Audit,Functional,Create TopProducts d365,TopProducts access and test data available,"1. Open d365.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""suite"": ""Enterprise"", ""env"": ""QA"", ""locale"": ""en-US""}"
