Test Case ID,Platform,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
DYN-CUS-00001,Dynamics365,customer_service,Cases,Retail,Create -> Approve -> Post -> Report,Performance,Route Retail Dynamics365 Cases,User has Dynamics365 access and Retail data exists,"1. Open Cases.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",High,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00002,Dynamics365,customer_service,Cases,Retail,Submit -> Validate -> Approve -> Complete,Performance,Clone Retail Dynamics365 Cases,User has Dynamics365 access and Retail data exists,"1. Open Cases.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Integration,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00003,Dynamics365,customer_service,Cases,Retail,Draft -> Review -> Publish -> Archive,Regression,Delete Retail Dynamics365 Cases,User has Dynamics365 access and Retail data exists,"1. Open Cases.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00004,Dynamics365,customer_service,Cases,Retail,Configure -> Execute -> Verify -> Close,Workflow,Submit Retail Dynamics365 Cases,User has Dynamics365 access and Retail data exists,"1. Open Cases.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",High,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00005,Dynamics365,customer_service,Cases,Manufacturing,Create -> Approve -> Post -> Report,Workflow,Route Manufacturing Dynamics365 Cases,User has Dynamics365 access and Manufacturing data exists,"1. Open Cases.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Medium,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00006,Dynamics365,customer_service,Cases,Manufacturing,Submit -> Validate -> Approve -> Complete,Regression,Clone Manufacturing Dynamics365 Cases,User has Dynamics365 access and Manufacturing data exists,"1. Open Cases.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00007,Dynamics365,customer_service,Cases,Manufacturing,Draft -> Review -> Publish -> Archive,UI,Edit Manufacturing Dynamics365 Cases,User has Dynamics365 access and Manufacturing data exists,"1. Open Cases.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Medium,Regression,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00008,Dynamics365,customer_service,Cases,Manufacturing,Configure -> Execute -> Verify -> Close,Functional,Edit Manufacturing Dynamics365 Cases,User has Dynamics365 access and Manufacturing data exists,"1. Open Cases.
2. Execute: Configure -> Execute -> Verify -> Close.
3. Validate end-to-end outcome.","Configure -> Execute -> Verify -> Close completes with correct status, audit trail, and reporting",Medium,Security,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00009,Dynamics365,customer_service,Cases,Healthcare,Create -> Approve -> Post -> Report,UI,Approve Healthcare Dynamics365 Cases,User has Dynamics365 access and Healthcare data exists,"1. Open Cases.
2. Execute: Create -> Approve -> Post -> Report.
3. Validate end-to-end outcome.","Create -> Approve -> Post -> Report completes with correct status, audit trail, and reporting",Low,Performance,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00010,Dynamics365,customer_service,Cases,Healthcare,Submit -> Validate -> Approve -> Complete,UI,Archive Healthcare Dynamics365 Cases,User has Dynamics365 access and Healthcare data exists,"1. Open Cases.
2. Execute: Submit -> Validate -> Approve -> Complete.
3. Validate end-to-end outcome.","Submit -> Validate -> Approve -> Complete completes with correct status, audit trail, and reporting",Low,Functional,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
DYN-CUS-00011,Dynamics365,customer_service,Cases,Healthcare,Draft -> Review -> Publish -> Archive,Regression,Update Healthcare Dynamics365 Cases,User has Dynamics365 access and Healthcare data exists,"1. Open Cases.
2. Execute: Draft -> Review -> Publish -> Archive.
3. Validate end-to-end outcome.","Draft -> Review -> Publish -> Archive completes with correct status, audit trail, and reporting",Low,Workflow,"{""record"": ""Sample"", ""status"": ""Draft"", ""owner"": ""QA"", ""region"": ""US""}"
