Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-FIN-00001,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00002,OracleApps,financials,Escalate OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00003,OracleApps,financials,Approve OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00004,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00005,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00006,OracleApps,financials,Approve OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00007,OracleApps,financials,Approve OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00008,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00009,OracleApps,financials,Route OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00010,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00011,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00012,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00013,OracleApps,financials,Clone OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00014,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00015,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00016,OracleApps,financials,Edit OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00017,OracleApps,financials,Edit OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00018,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00019,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00020,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00021,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00022,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00023,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00024,OracleApps,financials,Route OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00025,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00026,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-FIN-00027,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00028,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00029,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00030,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-FIN-00031,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00032,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00033,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00034,OracleApps,financials,Edit OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00035,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00036,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00037,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00038,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00039,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00040,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00041,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00042,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00043,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00044,OracleApps,financials,Clone OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00045,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00046,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00047,OracleApps,financials,Route OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00048,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00049,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00050,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00051,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00052,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00053,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00054,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00055,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00056,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00057,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00058,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00059,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00060,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00061,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00062,OracleApps,financials,Approve OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00063,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00064,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00065,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00066,OracleApps,financials,Escalate OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-FIN-00067,OracleApps,financials,Edit OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00068,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00069,OracleApps,financials,Clone OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00070,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00071,OracleApps,financials,Clone OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00072,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00073,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00074,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00075,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00076,OracleApps,financials,Edit OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00077,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00078,OracleApps,financials,Route OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00079,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00080,OracleApps,financials,Delete OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00081,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-FIN-00082,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00083,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00084,OracleApps,financials,Archive OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00085,OracleApps,financials,Reject OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-FIN-00086,OracleApps,financials,Approve OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00087,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00088,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-FIN-00089,OracleApps,financials,Escalate OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00090,OracleApps,financials,Search OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00091,OracleApps,financials,Create OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00092,OracleApps,financials,Route OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-FIN-00093,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00094,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-FIN-00095,OracleApps,financials,Escalate OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-FIN-00096,OracleApps,financials,Validate OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-FIN-00097,OracleApps,financials,Submit OracleApps financials,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-FIN-00098,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-FIN-00099,OracleApps,financials,Restore OracleApps financials,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-FIN-00100,OracleApps,financials,Clone OracleApps financials,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-FIN-00101,OracleApps,financials,Update OracleApps financials,OracleApps test data ready,Open module > perform action > validate result,Success,High
