Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PAL-PIP-00001,PalantirFoundry,pipelines,Restore PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-PIP-00002,PalantirFoundry,pipelines,Route PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-PIP-00003,PalantirFoundry,pipelines,Archive PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-PIP-00004,PalantirFoundry,pipelines,Validate PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-PIP-00005,PalantirFoundry,pipelines,Submit PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-PIP-00006,PalantirFoundry,pipelines,Route PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-PIP-00007,PalantirFoundry,pipelines,Clone PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-PIP-00008,PalantirFoundry,pipelines,Create PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-PIP-00009,PalantirFoundry,pipelines,Approve PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-PIP-00010,PalantirFoundry,pipelines,Restore PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-PIP-00011,PalantirFoundry,pipelines,Archive PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-PIP-00012,PalantirFoundry,pipelines,Delete PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-PIP-00013,PalantirFoundry,pipelines,Escalate PalantirFoundry pipelines,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-PIP-00014,PalantirFoundry,pipelines,Approve PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-PIP-00015,PalantirFoundry,pipelines,Reject PalantirFoundry pipelines,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-PIP-00016,PalantirFoundry,pipelines,Reject PalantirFoundry pipelines,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-PIP-00017,PalantirFoundry,pipelines,Delete PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-PIP-00018,PalantirFoundry,pipelines,Delete PalantirFoundry pipelines,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-PIP-00019,PalantirFoundry,pipelines,Clone PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-PIP-00020,PalantirFoundry,pipelines,Approve PalantirFoundry pipelines,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-PIP-00021,PalantirFoundry,pipelines,Route PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-PIP-00022,PalantirFoundry,pipelines,Submit PalantirFoundry pipelines,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-PIP-00023,PalantirFoundry,pipelines,Clone PalantirFoundry pipelines,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
