Test Case ID,Product,Folder,Capability,Domain,Flow,Test Type,Scenario,Preconditions,Steps,Expected Result,Priority,Sample Data
AZU-FUN-00001,Azure,functions,functions,DevOps,Create -> Protect -> Audit -> Report,Functional,Clone Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00002,Azure,functions,functions,Platform,Provision -> Validate -> Monitor -> Remediate,Security,Approve Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00003,Azure,functions,functions,Data,Provision -> Validate -> Monitor -> Remediate,UI,Delete Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00004,Azure,functions,functions,Security,Deploy -> Scale -> Observe -> Rollback,Accessibility,Update Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00005,Azure,functions,functions,Platform,Create -> Protect -> Audit -> Report,Integration,Restore Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00006,Azure,functions,functions,DevOps,Deploy -> Scale -> Observe -> Rollback,Accessibility,Update Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00007,Azure,functions,functions,Data,Deploy -> Scale -> Observe -> Rollback,Functional,Restore Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00008,Azure,functions,functions,Data,Create -> Protect -> Audit -> Report,Functional,Restore Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00009,Azure,functions,functions,DevOps,Deploy -> Scale -> Observe -> Rollback,Security,Edit Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00010,Azure,functions,functions,Platform,Provision -> Validate -> Monitor -> Remediate,Functional,Validate Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00011,Azure,functions,functions,Platform,Create -> Protect -> Audit -> Report,Accessibility,Submit Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00012,Azure,functions,functions,DevOps,Provision -> Validate -> Monitor -> Remediate,Performance,Archive Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00013,Azure,functions,functions,Security,Provision -> Validate -> Monitor -> Remediate,Functional,Validate Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Low,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00014,Azure,functions,functions,Security,Create -> Protect -> Audit -> Report,Regression,Submit Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,High,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
AZU-FUN-00015,Azure,functions,functions,Platform,Create -> Protect -> Audit -> Report,Regression,Search Azure functions,Azure access and test data available,"1. Open functions.
2. Execute flow.
3. Verify outcome.",Flow completes successfully,Medium,"{""service"": ""VM"", ""region"": ""eastus"", ""iam_role"": ""Tester""}"
