Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type,Sample Data
WD-FIN-00001,Workday,FINANCE,Supplier Invoice,Corporate,Requisition -> Offer -> Hire -> Onboard -> Payroll,Regression,Review Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00002,Workday,FINANCE,Supplier Invoice,Corporate,Employee Life Event -> Benefits -> Payroll -> Reporting,Security,Route Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Medium,Mobile,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00003,Workday,FINANCE,Supplier Invoice,Corporate,Expense Submit -> Approval -> Accounting -> Reimbursement,Regression,Validate Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Low,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00004,Workday,FINANCE,Supplier Invoice,Corporate,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Create Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",High,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00005,Workday,FINANCE,Supplier Invoice,Corporate,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Reject Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00006,Workday,FINANCE,Supplier Invoice,Corporate,Recruiting -> Hire -> Onboard -> Time -> Payroll,Performance,Validate Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00007,Workday,FINANCE,Supplier Invoice,Corporate,Budget -> Expense -> Journal -> Dashboard,Data Migration,Submit Corporate Workday Supplier Invoice,Workday access is provisioned and Corporate test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00008,Workday,FINANCE,Supplier Invoice,Retail,Requisition -> Offer -> Hire -> Onboard -> Payroll,Workflow,Sync Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",Medium,Integration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00009,Workday,FINANCE,Supplier Invoice,Retail,Employee Life Event -> Benefits -> Payroll -> Reporting,Workflow,Create Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",Low,Security,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00010,Workday,FINANCE,Supplier Invoice,Retail,Expense Submit -> Approval -> Accounting -> Reimbursement,Security,Create Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00011,Workday,FINANCE,Supplier Invoice,Retail,Supplier Invoice -> Matching -> Approval -> Payment,Integration,Submit Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00012,Workday,FINANCE,Supplier Invoice,Retail,Integration Load -> Validate -> Error Handling -> Reprocess,Security,Reject Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",Low,UI,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00013,Workday,FINANCE,Supplier Invoice,Retail,Recruiting -> Hire -> Onboard -> Time -> Payroll,Accessibility,Import Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00014,Workday,FINANCE,Supplier Invoice,Retail,Budget -> Expense -> Journal -> Dashboard,Integration,Approve Retail Workday Supplier Invoice,Workday access is provisioned and Retail test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Budget -> Expense -> Journal -> Dashboard.
3. Perform validation and confirm downstream impact.","Budget -> Expense -> Journal -> Dashboard completes successfully with approvals, validations, and audit trail",Medium,Regression,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00015,Workday,FINANCE,Supplier Invoice,Healthcare,Requisition -> Offer -> Hire -> Onboard -> Payroll,Workflow,Create Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Requisition -> Offer -> Hire -> Onboard -> Payroll.
3. Perform validation and confirm downstream impact.","Requisition -> Offer -> Hire -> Onboard -> Payroll completes successfully with approvals, validations, and audit trail",High,Workflow,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00016,Workday,FINANCE,Supplier Invoice,Healthcare,Employee Life Event -> Benefits -> Payroll -> Reporting,Mobile,Submit Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Employee Life Event -> Benefits -> Payroll -> Reporting.
3. Perform validation and confirm downstream impact.","Employee Life Event -> Benefits -> Payroll -> Reporting completes successfully with approvals, validations, and audit trail",High,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00017,Workday,FINANCE,Supplier Invoice,Healthcare,Expense Submit -> Approval -> Accounting -> Reimbursement,Mobile,Validate Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Expense Submit -> Approval -> Accounting -> Reimbursement.
3. Perform validation and confirm downstream impact.","Expense Submit -> Approval -> Accounting -> Reimbursement completes successfully with approvals, validations, and audit trail",Medium,Data Migration,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00018,Workday,FINANCE,Supplier Invoice,Healthcare,Supplier Invoice -> Matching -> Approval -> Payment,Performance,Update Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Supplier Invoice -> Matching -> Approval -> Payment.
3. Perform validation and confirm downstream impact.","Supplier Invoice -> Matching -> Approval -> Payment completes successfully with approvals, validations, and audit trail",Low,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00019,Workday,FINANCE,Supplier Invoice,Healthcare,Integration Load -> Validate -> Error Handling -> Reprocess,Mobile,Create Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Integration Load -> Validate -> Error Handling -> Reprocess.
3. Perform validation and confirm downstream impact.","Integration Load -> Validate -> Error Handling -> Reprocess completes successfully with approvals, validations, and audit trail",High,Performance,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
WD-FIN-00020,Workday,FINANCE,Supplier Invoice,Healthcare,Recruiting -> Hire -> Onboard -> Time -> Payroll,Mobile,Validate Healthcare Workday Supplier Invoice,Workday access is provisioned and Healthcare test data exists,"1. Open Workday Supplier Invoice.
2. Execute: Recruiting -> Hire -> Onboard -> Time -> Payroll.
3. Perform validation and confirm downstream impact.","Recruiting -> Hire -> Onboard -> Time -> Payroll completes successfully with approvals, validations, and audit trail",Low,Functional,"{""worker"": ""Jane Doe"", ""company"": ""Global Demo"", ""region"": ""US""}"
